GPA_S1,Hopeless/unmotivated,Sleep_hrs,LAB_AVG,Programme prepares for career,Concentration in self-study,Adequate supervision,CA_AVG,Financial_diff,Employment_hrs,Can improve performance,Self-motivates,Sense of belonging,Manages time effectively,Early intervention provided,Persists when difficult,Peer study groups effective,Anxious about assessments,Takes rest breaks,Seeks help when stuck,Regular exercise,Participates in class,Considered break,Age_group,Understands content pre-exam,CLIN_AVG,Takes organised notes,Physical health affected,ATT_RATE,Lecturers approachable,Sets academic goals,Study_hrs_day,Completes readings,EXAM_AVG,Confident in clinical skills,Prepared for clinical assess,Rotations affect performance,Self_risk_percep,Schedule conflicts,Gender,Sleep difficulty,Year_study,ASSIGN_LATE,Health interferes studies,Sleep affects concentration,Feels prepared,Emotionally supported
2.5,4,3,0.95,2,2,3,0.59,2,0,3,4,3,1,1,2,2,4,1,3,3,2,4,0,2,0.96,1,2,1.0,1,1,0,3,0.7,2,4,3,2,3,0,2,300,1,5,4,4,1
2.89,2,1,0.8,2,3,4,0.69,1,0,2,1,4,1,2,4,3,5,1,3,4,1,2,4,3,0.7,2,4,0.84,2,4,5,3,0.79,2,1,4,1,1,0,2,300,0,2,4,2,3
2.02,2,1,0.96,4,1,3,1.0,2,0,4,5,4,1,1,2,1,3,3,3,1,3,4,1,2,0.9,1,1,0.78,2,3,2,1,0.7,3,3,4,0,4,1,1,300,2,4,2,5,2
2.81,3,1,0.97,2,3,4,0.91,0,1,1,2,2,4,5,5,3,5,1,4,1,2,3,0,4,0.9,5,5,0.6,3,4,3,1,0.91,4,2,2,1,4,0,4,300,0,2,4,3,2
2.09,1,3,0.94,4,4,3,0.7,4,0,5,3,5,3,3,5,4,2,2,1,3,3,2,4,3,0.69,3,4,0.89,1,5,2,3,0.79,2,2,1,2,1,0,4,300,1,3,1,4,3
3.44,1,1,0.88,2,3,5,0.79,4,1,1,5,3,2,2,3,3,3,4,4,3,3,4,3,1,0.7,2,2,0.7,1,2,3,3,0.7,1,5,3,2,4,0,2,300,2,4,3,5,3
2.4,4,1,0.92,1,3,2,0.75,2,1,3,3,3,4,2,3,3,3,2,1,3,1,2,1,2,0.93,2,3,0.78,3,2,4,4,0.59,4,2,3,2,3,1,2,200,1,3,2,2,3
1.33,4,3,0.89,4,1,3,0.6,4,0,5,2,1,3,5,1,1,2,4,3,1,2,2,3,3,0.89,5,4,0.77,2,4,2,5,0.93,4,2,3,1,3,1,2,300,0,2,1,3,3
2.69,2,5,0.88,2,5,5,0.78,1,0,5,4,3,3,4,4,5,1,2,1,5,3,4,1,4,0.9,4,2,0.89,3,4,3,2,0.7,2,2,3,2,4,0,4,300,1,1,4,3,2
2.46,1,5,0.84,3,1,4,0.69,0,0,4,2,5,3,5,5,1,3,3,4,4,1,5,1,4,0.55,5,5,0.78,1,3,4,4,0.88,2,3,3,2,3,1,4,300,2,3,4,3,2
2.17,5,2,0.88,2,3,2,0.63,2,0,2,1,3,1,3,1,1,5,2,2,3,1,5,0,1,0.69,4,4,0.59,1,2,2,3,0.69,2,3,2,1,4,1,5,300,1,5,2,1,4
3.0,4,1,0.89,1,2,2,0.8,0,2,2,2,1,2,3,2,2,4,3,2,1,2,4,4,2,0.6,2,4,1.0,2,2,4,2,0.79,2,2,2,0,2,1,4,200,1,3,5,2,1
3.0,4,2,0.67,5,4,1,0.78,1,4,3,2,4,5,4,4,4,3,1,3,4,2,1,2,4,0.88,4,4,0.6,5,2,3,4,0.7,5,4,5,1,5,1,3,300,1,5,3,1,3
2.43,3,2,1.0,2,1,5,0.8,1,0,1,3,4,2,4,2,1,4,3,1,3,3,3,1,4,0.6,4,4,0.7,2,4,4,1,1.0,4,2,3,0,2,1,2,300,1,3,5,3,3
2.36,2,1,0.98,1,1,4,0.69,1,0,2,3,3,3,1,4,1,1,3,5,2,5,3,1,1,0.99,1,3,0.92,4,4,2,2,0.78,1,4,3,2,3,0,1,300,0,2,3,1,1
3.33,2,2,0.77,1,3,2,0.6,0,1,4,3,5,3,4,2,2,2,5,5,5,4,1,3,5,0.64,3,2,0.79,2,3,2,4,0.64,2,4,5,3,3,0,5,200,2,4,2,2,2
3.13,4,2,0.65,1,2,2,0.76,3,0,2,2,4,1,5,2,4,4,2,4,3,2,4,1,4,0.92,2,5,0.8,4,2,3,2,0.92,2,4,5,2,4,1,5,200,0,2,5,2,3
3.6,2,5,0.88,4,4,4,0.77,0,1,5,3,1,4,4,2,4,3,3,3,2,4,1,2,3,0.79,4,4,0.78,4,5,2,2,0.65,2,3,5,1,2,0,2,200,2,3,3,2,3
2.09,2,1,0.79,4,3,2,0.77,0,0,4,1,2,5,4,4,3,3,4,2,3,3,4,1,3,0.7,4,4,0.9,3,3,3,1,0.87,1,5,3,2,3,0,2,300,0,2,5,3,4
2.96,3,2,0.92,4,2,4,0.5,0,0,2,3,2,3,3,4,2,3,2,2,4,3,2,4,3,0.78,3,1,1.0,4,3,2,5,0.9,3,4,3,1,3,0,5,300,2,5,5,2,5
3.55,5,5,0.93,3,2,3,0.7,1,4,1,3,5,3,1,4,2,3,2,3,3,4,5,4,1,0.77,1,3,0.6,2,3,4,1,0.99,2,2,3,2,3,0,3,300,1,3,4,1,2
2.74,2,5,0.88,1,3,2,0.69,1,4,1,3,4,5,4,3,3,3,2,3,3,3,5,1,4,0.77,4,2,0.78,3,3,1,2,0.79,3,2,5,3,2,0,1,300,1,4,1,2,4
1.69,3,3,0.94,2,2,4,0.69,0,0,3,3,2,2,2,4,2,3,3,3,2,4,2,3,3,0.93,2,2,0.9,2,4,3,4,0.99,4,2,4,2,2,1,5,200,1,2,1,3,4
3.63,3,1,0.93,1,1,3,1.0,0,0,2,5,2,1,5,2,1,5,4,4,1,4,5,0,5,0.69,5,2,0.85,4,2,2,1,0.99,2,5,4,2,5,0,2,300,2,3,2,3,3
2.85,2,3,0.85,3,2,3,0.9,1,0,3,3,3,2,1,2,2,3,5,2,3,1,3,2,2,1.0,1,1,1.0,2,4,4,4,0.69,2,1,3,1,4,0,3,300,2,5,3,4,4
2.91,2,5,0.83,1,4,1,0.6,0,0,1,4,1,2,1,3,4,3,3,2,4,3,2,2,3,1.0,1,1,0.9,2,1,5,1,0.91,3,1,3,1,2,0,3,300,1,3,3,4,4
1.98,2,1,0.87,1,5,1,0.96,4,2,5,3,4,1,1,5,5,1,5,4,3,4,1,1,3,1.0,1,3,0.79,4,4,4,1,0.87,2,4,5,2,2,0,4,300,1,5,3,1,3
3.69,2,5,1.0,1,3,4,0.6,0,0,2,4,1,5,4,3,3,1,5,2,2,3,3,1,1,1.0,4,2,0.69,4,1,3,1,0.79,2,1,1,3,1,0,3,300,2,5,3,3,4
3.07,2,0,0.97,3,2,2,0.7,1,0,1,2,3,2,2,2,3,3,3,2,2,2,3,2,2,0.79,2,2,0.79,2,2,4,2,0.55,2,2,3,2,2,1,3,200,2,3,2,1,2
2.8,4,0,0.89,3,1,5,1.0,4,1,3,5,4,5,1,1,1,5,3,3,1,4,3,1,3,0.9,1,3,0.89,2,5,0,2,0.7,3,3,2,3,2,1,5,300,1,5,5,1,1
1.9,3,3,0.91,2,2,1,0.89,0,0,1,2,5,5,5,4,2,3,1,2,2,3,2,2,3,0.6,5,2,0.7,1,5,2,4,0.96,4,1,2,1,2,0,3,200,1,4,3,3,5
3.35,3,3,0.84,4,5,4,0.91,3,4,3,3,4,3,2,3,5,3,2,3,2,5,2,3,4,0.79,2,3,0.67,2,3,2,4,0.8,3,1,3,2,2,1,2,200,2,2,3,5,1
2.17,3,3,0.65,1,3,2,0.57,3,0,2,2,4,2,2,3,3,3,5,3,4,2,5,1,4,0.73,3,5,0.69,3,3,2,4,0.77,1,2,4,3,2,0,3,200,2,2,2,3,3
2.3,4,5,0.83,5,2,1,0.6,2,2,2,4,5,2,2,2,2,1,2,4,4,3,3,2,1,0.7,2,1,0.69,1,2,5,2,0.93,5,2,3,2,2,1,2,300,1,2,4,2,3
3.0,4,3,0.96,3,4,1,0.89,0,0,2,3,1,3,2,2,4,4,3,3,2,2,1,1,2,0.7,2,2,0.7,5,4,3,3,0.79,5,3,1,3,3,1,2,300,1,1,1,3,2
2.78,3,2,0.97,3,5,2,0.88,4,0,2,4,5,2,1,2,5,4,2,1,1,2,4,1,3,0.89,1,1,0.79,4,3,2,3,0.79,3,4,3,1,1,0,4,300,2,3,2,2,4
3.56,4,3,1.0,3,3,3,0.6,1,0,3,1,3,2,5,4,3,2,4,3,2,1,3,1,4,1.0,5,4,0.92,2,3,2,4,0.66,4,3,4,1,1,0,4,200,1,1,4,5,2
3.04,5,1,1.0,2,3,1,0.92,0,0,1,2,2,4,3,3,3,4,1,3,2,3,5,1,3,0.7,3,3,0.9,5,3,4,5,0.7,1,2,3,3,3,0,3,300,1,2,1,3,2
2.6,3,5,0.63,3,1,2,0.67,2,4,3,1,3,2,3,3,3,5,2,2,2,1,5,3,2,0.68,1,3,0.68,3,3,2,1,0.63,2,2,2,3,2,1,5,200,2,2,2,1,3
2.88,5,0,1.0,1,5,2,0.69,0,0,3,4,3,4,4,2,5,3,2,1,3,4,2,4,2,0.79,4,3,0.7,2,2,2,2,0.7,5,2,3,1,4,1,2,300,1,3,2,3,3
2.75,3,3,1.0,5,2,2,1.0,0,0,1,3,4,3,2,2,2,1,3,2,1,3,3,1,2,0.89,2,2,1.0,1,1,3,3,0.7,2,2,1,2,3,0,2,200,1,1,2,2,2
3.43,2,1,0.84,5,3,4,0.78,1,0,3,3,2,2,5,5,3,3,5,5,2,4,3,0,2,0.83,5,1,0.69,3,4,2,1,0.7,3,1,1,2,1,0,3,300,1,2,1,4,1
2.45,2,1,0.81,4,1,3,0.93,4,4,2,5,3,2,4,4,1,5,2,1,2,1,3,0,1,0.89,4,5,0.68,2,3,3,3,0.99,5,2,3,0,1,0,1,200,1,2,1,1,3
2.19,5,5,1.0,5,4,3,0.67,4,0,5,2,1,4,2,1,4,5,5,4,1,4,1,1,3,0.69,2,1,0.9,5,3,4,4,0.7,4,3,2,2,3,1,2,200,1,3,3,3,1
2.05,2,1,0.93,5,4,4,0.69,4,0,5,3,2,4,4,2,4,3,3,1,4,2,2,2,1,0.79,4,4,1.0,2,2,2,4,0.99,2,3,1,2,2,0,4,300,2,3,3,3,1
2.78,3,3,0.85,4,3,5,0.87,1,0,4,4,3,3,2,3,3,2,2,5,3,4,1,3,4,0.77,2,2,0.79,2,2,3,3,1.0,2,3,1,3,1,0,2,300,1,4,5,1,1
3.02,3,1,0.73,5,5,3,0.55,0,2,3,3,2,2,2,2,5,2,4,3,1,3,4,2,5,0.79,2,5,0.66,3,4,3,2,0.9,2,4,2,1,3,0,2,300,0,5,1,5,2
2.82,1,1,0.86,2,3,4,0.69,1,0,2,2,2,1,3,2,3,4,2,2,4,3,2,3,2,1.0,3,5,0.89,3,4,2,2,0.89,2,2,1,2,3,1,2,300,2,3,3,3,3
2.26,1,1,0.82,3,1,2,0.67,1,1,1,2,2,2,4,3,1,1,3,4,5,4,1,3,4,0.69,4,2,0.87,5,4,2,3,0.7,2,4,2,1,3,0,5,300,2,4,3,3,5
2.4,2,3,0.86,1,1,4,0.89,4,4,1,5,1,5,1,3,1,1,5,3,4,4,2,1,1,1.0,1,1,0.79,1,1,3,3,0.78,3,1,1,1,4,0,3,200,2,5,5,4,1
3.1,3,1,1.0,4,2,1,0.69,0,0,1,1,1,5,4,4,2,1,3,2,3,3,3,3,4,0.77,4,5,0.7,3,4,2,1,0.68,3,2,3,1,2,1,2,200,2,2,2,4,3
3.22,1,3,0.69,4,4,2,0.88,1,2,1,3,2,5,3,4,4,3,5,3,4,1,2,2,1,0.6,3,1,1.0,3,3,2,1,0.93,3,3,1,1,1,0,3,300,2,4,2,2,2
1.88,1,3,0.97,3,2,3,0.89,0,0,2,2,2,5,4,1,2,2,2,5,3,5,3,1,4,0.66,4,3,0.69,2,2,2,2,0.6,2,5,3,2,2,0,2,300,2,5,3,2,3
2.39,2,1,0.75,3,1,1,0.9,2,2,3,4,5,2,2,4,1,1,2,5,3,4,4,3,3,0.79,2,5,0.89,5,2,2,2,0.9,4,3,3,1,2,0,3,300,1,3,3,2,4
3.35,3,2,0.91,2,3,3,0.78,2,0,4,5,4,2,2,3,3,4,3,3,2,3,1,3,4,0.69,2,1,1.0,5,3,3,2,0.69,5,2,2,0,4,1,2,200,1,3,1,5,2
2.62,5,3,0.94,5,2,1,0.89,1,1,2,3,1,1,3,1,3,1,5,2,3,3,3,2,3,1.0,4,2,0.7,5,1,4,3,0.49,1,3,4,1,1,0,1,200,1,4,4,3,4
3.19,5,1,0.86,4,3,4,0.66,2,0,4,4,2,3,4,1,3,5,3,5,1,4,4,3,3,0.69,4,2,0.85,3,3,3,3,0.92,2,4,4,2,4,0,4,200,1,1,1,3,1
3.35,5,1,0.97,2,3,4,0.92,0,0,1,1,2,4,3,1,3,5,3,4,4,3,3,0,3,0.7,3,3,1.0,3,1,3,2,0.9,2,4,3,0,5,1,2,200,1,1,2,1,3
3.3,2,3,0.88,2,4,3,0.69,0,0,2,3,1,3,4,4,4,2,1,3,3,5,1,3,3,0.69,4,3,0.88,3,3,2,1,0.93,4,4,3,1,3,0,4,300,1,4,1,2,5
2.0,4,1,0.77,1,3,2,0.65,4,0,2,2,2,2,2,2,2,2,4,2,3,3,4,0,3,1.0,2,4,0.77,1,2,5,1,1.0,2,2,2,1,2,0,4,200,2,4,5,2,4
3.27,4,1,0.73,3,2,3,0.7,4,0,3,2,1,3,3,3,2,5,5,2,2,5,1,1,2,0.63,3,1,0.89,4,4,4,1,0.7,4,4,5,3,3,0,2,300,1,3,4,1,1
3.17,2,1,0.7,2,3,3,1.0,0,2,2,3,2,3,3,2,3,1,5,4,3,4,3,2,3,0.85,3,2,0.68,3,3,2,4,1.0,3,4,5,1,1,1,2,300,2,4,1,3,5
2.87,3,3,0.64,1,4,2,0.7,2,0,2,3,4,3,1,1,4,5,3,3,4,1,3,2,5,0.6,1,3,1.0,3,2,2,3,0.7,4,4,1,3,5,1,1,300,1,3,3,3,4
3.35,2,3,0.93,3,3,5,0.7,0,1,3,1,4,2,4,5,3,3,3,3,3,1,2,4,3,0.7,4,4,0.69,1,2,3,1,1.0,5,2,3,2,2,1,5,200,0,2,2,1,4
1.1,4,1,0.87,5,2,2,0.89,2,4,4,2,4,3,3,4,2,2,5,2,4,3,3,3,3,0.87,3,5,0.79,2,3,2,5,0.9,5,2,2,1,5,1,1,300,1,4,2,3,5
2.25,5,3,0.91,3,5,5,0.79,2,0,1,3,4,4,5,3,5,1,4,2,3,4,5,3,3,0.77,5,3,0.7,4,2,5,3,1.0,3,5,3,0,1,0,5,300,2,1,3,3,3
3.31,2,2,0.94,2,2,4,0.9,0,2,2,3,2,4,1,3,2,2,3,3,1,3,3,1,3,0.7,1,2,0.89,4,2,2,3,0.79,4,1,4,2,4,0,3,200,2,2,3,3,4
2.26,2,1,0.82,3,2,1,0.84,0,4,4,2,4,1,3,5,2,2,4,3,1,3,4,1,1,0.7,3,2,0.89,5,3,3,1,0.59,5,2,4,2,3,0,3,300,0,2,5,5,1
1.83,4,2,1.0,2,2,3,1.0,2,4,3,1,5,4,2,1,2,3,2,4,1,4,5,1,2,0.92,2,4,0.59,4,2,2,2,0.89,2,1,3,2,5,0,2,300,2,4,5,1,1
2.93,1,3,0.94,1,3,3,1.0,2,1,5,3,1,1,3,3,3,4,2,5,5,2,3,1,4,0.99,3,2,0.69,2,5,2,3,1.0,3,1,4,1,4,1,1,200,1,3,5,2,3
3.05,4,1,0.86,2,2,3,0.83,2,0,1,2,3,2,2,2,2,4,3,4,3,3,4,1,2,0.87,3,2,0.89,4,2,3,2,0.89,3,3,2,2,3,0,2,200,2,4,2,2,2
2.81,4,1,0.87,4,1,2,1.0,2,0,2,4,4,2,1,5,1,2,5,3,1,2,2,2,3,0.77,1,2,0.79,3,5,4,2,0.7,3,2,3,1,2,0,3,300,0,4,3,1,3
3.1,2,1,0.92,4,1,4,0.89,2,0,3,5,2,1,5,4,1,5,1,1,4,1,2,2,2,0.6,5,2,0.95,2,2,4,5,0.8,4,3,3,2,4,1,3,200,0,2,5,2,4
2.38,3,2,0.87,5,2,2,0.93,4,0,2,4,3,5,4,1,2,5,4,2,1,3,4,2,4,0.57,4,2,1.0,1,3,1,2,0.7,3,3,2,2,3,1,1,300,2,3,4,5,3
2.38,3,3,0.87,2,2,3,0.64,2,1,2,1,2,2,3,2,2,2,3,3,2,2,3,1,2,1.0,3,2,0.6,2,3,2,1,0.59,2,2,4,2,3,1,2,200,2,4,3,3,2
3.26,4,1,0.83,1,2,1,0.86,0,0,2,2,4,2,4,2,2,5,2,2,3,2,5,2,3,0.83,2,5,0.93,5,2,4,2,0.83,2,2,5,0,5,0,2,200,1,4,5,1,2
2.92,3,1,0.71,5,3,3,0.7,2,1,4,3,1,1,3,3,3,5,2,3,4,1,2,3,5,0.79,3,4,0.7,5,1,2,3,0.94,4,2,3,1,1,1,2,200,1,3,3,5,2
3.11,4,5,1.0,3,3,1,0.9,4,0,1,5,4,2,4,1,3,4,5,4,2,3,5,3,1,0.65,4,5,0.89,5,1,3,1,0.69,3,4,3,2,3,1,5,300,2,3,5,3,2
3.13,4,3,0.94,3,1,2,0.79,1,0,3,1,1,3,4,4,1,4,3,5,4,3,2,2,4,0.93,4,2,0.79,2,1,3,3,0.79,4,4,2,1,4,1,1,300,0,3,3,4,4
3.38,5,0,0.6,2,3,3,0.72,1,0,1,2,3,3,3,3,3,2,4,5,5,4,1,1,2,1.0,3,2,0.78,3,1,3,1,0.69,4,2,3,1,3,1,1,300,2,2,1,1,2
3.74,5,5,0.68,3,3,2,0.78,1,0,3,3,3,3,4,3,3,5,5,3,1,3,4,3,3,0.7,3,4,0.79,2,3,3,3,0.8,2,2,3,3,3,1,4,200,1,5,5,2,2
3.19,3,3,0.95,3,4,4,0.79,2,0,5,3,1,1,2,3,4,4,5,2,2,4,5,2,5,0.69,2,2,0.73,4,3,2,2,0.69,4,4,4,2,4,0,3,200,1,2,3,3,4
2.64,1,1,0.88,3,2,4,0.9,1,1,4,3,4,3,5,5,2,1,3,1,1,4,3,1,3,0.7,5,3,0.9,4,3,3,2,0.96,3,2,4,3,1,1,3,300,0,2,3,4,2
3.33,4,4,0.81,5,3,3,0.87,3,0,5,3,3,4,4,4,4,3,2,2,3,3,4,0,2,0.8,2,4,0.9,1,3,2,2,0.8,2,3,3,1,3,0,4,200,1,2,3,3,2
3.31,5,1,0.73,5,1,1,0.96,2,0,3,2,1,4,3,3,1,5,2,3,3,1,3,3,3,0.89,3,2,0.7,2,1,2,5,0.79,3,4,4,0,5,0,1,300,1,3,2,2,3
2.56,3,1,0.9,5,4,5,0.8,0,0,3,5,2,1,4,2,4,4,3,1,4,1,3,2,4,0.89,4,1,0.55,3,2,3,3,0.69,3,4,4,0,3,1,2,300,2,1,1,3,4
3.17,2,1,1.0,3,4,1,0.89,1,1,3,1,4,3,4,2,4,4,4,3,4,2,3,2,4,0.79,4,3,0.79,3,3,2,3,0.64,3,4,4,1,5,0,2,200,2,4,1,5,3
2.78,4,1,0.94,5,1,2,1.0,0,2,3,3,2,1,3,1,1,3,3,5,4,1,5,4,4,0.68,3,1,1.0,1,5,2,1,0.93,4,3,2,0,3,1,1,300,2,5,5,3,5
2.43,2,5,0.86,2,1,3,0.93,1,0,3,1,4,2,3,3,1,1,1,3,3,4,5,2,2,0.8,3,1,1.0,3,5,3,2,1.0,2,1,5,0,4,0,5,300,2,4,5,4,5
2.0,3,1,1.0,1,5,5,0.7,2,1,3,5,3,1,2,1,5,5,2,2,1,3,2,2,4,0.6,2,3,0.9,2,2,2,3,0.79,3,2,1,0,4,0,3,300,1,3,1,2,4
2.46,2,3,0.8,5,3,2,0.7,2,0,5,2,5,1,1,5,3,1,1,1,2,5,5,2,4,0.89,1,3,0.9,4,1,5,1,0.79,3,2,4,2,3,0,4,300,2,2,2,2,5
3.31,2,5,0.89,3,2,1,0.78,0,0,1,4,5,5,4,4,2,1,2,3,2,4,3,4,4,0.88,4,2,0.7,1,1,3,3,0.7,1,4,1,1,3,0,3,300,0,2,1,2,1
2.45,2,5,1.0,1,1,1,0.7,4,0,5,2,4,1,2,4,1,1,1,4,2,5,3,3,2,1.0,2,4,0.7,2,2,4,2,0.69,2,2,4,2,2,1,3,300,1,5,4,2,3
2.61,2,3,1.0,3,1,2,1.0,2,0,3,2,1,1,3,4,1,3,3,4,3,3,2,3,5,0.89,3,1,1.0,3,2,4,4,0.7,1,4,1,0,3,1,4,300,1,4,2,4,1
3.0,1,3,0.85,2,2,5,0.99,2,0,5,5,4,1,4,4,2,1,4,5,1,2,1,1,5,0.89,4,4,0.9,4,2,5,1,0.91,4,1,3,0,2,0,2,300,1,2,4,4,4
2.75,3,0,0.74,2,4,4,0.9,0,1,2,4,1,3,5,2,4,1,4,3,4,1,4,2,5,0.66,5,4,0.9,2,3,2,3,0.69,3,2,5,3,1,0,1,300,1,4,3,3,5
2.89,3,1,0.81,1,3,5,0.7,2,1,3,1,1,1,1,4,3,2,4,4,1,4,1,4,5,0.9,1,1,0.66,4,4,3,5,0.88,3,3,3,2,1,1,2,300,0,4,2,4,2
2.48,3,5,0.95,4,2,3,0.69,1,1,1,1,3,3,5,2,2,1,2,3,2,3,2,0,3,0.7,5,2,0.78,3,1,5,5,0.7,1,2,2,1,4,1,5,200,1,2,1,3,4
3.26,5,2,0.4,1,2,3,0.78,1,0,1,3,3,1,5,1,1,3,1,5,3,1,5,0,3,0.83,1,5,0.92,3,1,3,3,0.83,2,3,3,0,3,0,4,200,2,5,4,3,1
2.92,5,3,0.89,5,1,3,0.7,0,2,1,4,3,5,3,5,1,1,3,4,1,1,1,4,4,0.7,3,2,0.85,5,1,0,2,0.5,3,2,4,2,2,1,4,200,1,1,3,4,3
2.67,1,3,0.91,3,3,4,0.79,2,2,2,4,4,3,4,2,3,5,4,3,4,4,3,3,1,0.79,4,3,0.69,2,2,5,2,0.98,4,3,2,2,2,0,2,200,2,5,4,2,3
2.81,4,3,0.55,1,3,1,0.66,3,2,2,3,5,3,5,2,3,3,2,4,3,3,4,3,3,0.69,3,5,0.89,4,2,3,3,0.69,2,2,5,2,5,0,3,300,2,4,5,1,3
2.41,2,3,0.66,3,4,2,0.7,2,1,1,5,2,4,3,1,4,1,2,3,4,4,3,2,2,0.79,3,4,0.88,1,1,1,4,0.7,2,3,2,1,1,0,2,300,1,3,4,3,1
3.41,5,0,1.0,3,3,3,0.89,1,1,1,5,3,2,4,5,3,2,3,1,3,2,2,3,2,0.7,4,5,0.89,3,2,2,3,0.7,3,2,2,2,4,0,4,300,1,1,1,4,2
3.24,2,3,1.0,2,2,4,0.85,2,0,5,3,2,3,1,2,2,3,3,4,5,5,3,3,2,0.73,1,4,0.57,4,5,4,2,0.79,3,3,1,3,2,1,4,300,0,1,2,2,2
2.89,2,1,0.86,4,4,4,0.6,1,0,3,3,3,4,2,4,4,4,5,5,1,3,3,1,2,0.79,2,3,0.69,4,2,3,2,0.88,1,3,1,2,4,0,4,300,1,3,1,1,2
3.06,4,1,0.94,4,5,4,0.89,4,0,3,2,4,2,5,2,5,5,3,1,1,1,1,1,3,0.73,5,1,0.96,1,2,5,1,0.79,1,5,3,3,1,0,2,300,0,5,3,3,3
