GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared
3.0,0.8,0.79,0.6,0.89,1.0,1,4,1,200,2,0,2,4,1,0,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,1,2,5,1,3,3,3,1,3,3,2,3,2,1,1,2,2,2,2,2,2,2
3.0,0.78,0.7,0.88,0.67,0.6,1,2,1,300,2,1,4,3,2,1,1,4,3,3,4,4,4,2,5,4,5,1,5,5,3,3,2,4,4,1,3,5,3,4,1,5,1,4,3,3,4,4,4,2,5,1,3,2,4,5,2,1
2.43,0.8,1.0,0.6,1.0,0.7,1,1,1,300,2,1,0,4,2,0,3,4,1,4,1,4,1,3,2,2,3,5,2,4,4,2,4,3,4,3,3,2,5,3,2,3,3,4,1,4,1,4,1,3,2,4,1,4,2,2,3,3
2.36,0.69,0.78,0.99,0.98,0.92,0,1,0,300,2,1,0,2,1,2,1,1,5,1,2,1,1,5,1,4,3,4,3,1,1,1,5,2,3,3,1,4,3,2,3,2,3,3,5,1,2,1,1,5,1,3,2,4,4,3,3,1
3.33,0.6,0.64,0.64,0.77,0.79,2,3,0,200,1,0,1,2,2,3,5,5,5,3,4,3,3,4,5,4,5,2,3,2,2,5,4,2,2,1,2,2,2,5,3,4,5,5,5,5,4,4,2,4,1,2,4,3,2,3,3,2
3.13,0.76,0.92,0.92,0.65,0.8,0,1,1,200,2,3,0,3,2,2,5,4,4,1,2,2,2,2,5,4,5,2,4,2,4,5,4,4,5,4,3,4,5,3,3,2,2,4,4,3,5,5,4,4,1,2,2,2,2,1,2,2
3.6,0.77,0.65,0.79,0.88,0.78,2,2,0,200,4,0,1,2,5,1,2,3,3,3,2,4,4,4,4,3,5,4,2,2,3,2,1,2,4,1,3,4,3,2,2,3,3,1,3,3,2,4,4,4,4,3,5,5,2,4,3,2
2.09,0.77,0.87,0.7,0.79,0.9,0,1,0,300,1,0,0,3,1,2,3,3,2,1,1,4,3,3,4,5,3,2,3,1,3,2,1,2,4,4,4,3,5,3,2,2,4,2,2,1,1,4,3,3,4,4,4,3,4,5,1,3
2.96,0.5,0.9,0.78,0.92,1.0,2,4,0,300,4,0,0,2,2,1,2,3,2,5,5,3,2,3,4,4,3,4,3,3,3,5,2,3,1,2,5,4,5,4,5,5,2,2,2,5,5,3,2,3,4,1,2,3,4,3,3,2
3.55,0.7,0.99,0.77,0.93,0.6,1,4,0,300,2,1,4,4,5,2,1,1,3,3,1,1,2,4,3,2,3,3,3,2,3,3,4,5,3,5,2,2,4,3,2,3,2,5,3,3,1,1,2,4,3,4,1,3,4,3,3,1
2.74,0.69,0.79,0.77,0.88,0.78,1,1,0,300,3,1,4,1,5,3,2,4,3,1,2,4,3,3,1,2,5,2,2,3,3,1,2,2,2,5,4,3,1,3,2,4,2,4,3,1,2,4,3,3,1,5,1,3,3,5,3,2
1.69,0.69,0.99,0.93,0.94,0.9,1,3,1,200,4,0,0,3,3,2,3,3,3,3,4,2,2,4,2,2,4,4,2,4,3,5,2,3,2,2,4,2,1,2,2,2,3,2,3,3,4,2,2,4,2,1,3,4,4,2,3,3
3.63,1.0,0.99,0.69,0.93,0.85,2,0,0,300,1,0,0,2,1,2,3,5,4,1,1,5,1,4,1,5,4,3,5,2,5,2,1,3,2,5,3,4,2,1,3,3,4,2,4,1,1,5,1,4,1,2,2,2,2,1,5,3
2.85,0.9,0.69,1.0,0.85,1.0,2,2,0,300,3,1,0,4,3,1,4,2,2,3,4,1,2,1,3,1,3,3,4,2,3,3,4,2,1,3,4,2,3,3,2,5,5,3,2,3,4,1,2,1,3,2,3,4,2,2,3,4
2.91,0.6,0.91,1.0,0.83,0.9,1,2,0,300,4,0,0,5,5,1,4,3,2,2,1,1,4,3,1,1,3,1,2,3,3,3,4,2,1,2,4,2,3,4,2,3,3,1,2,2,1,1,4,3,1,5,1,1,3,2,4,4
1.98,0.96,0.87,1.0,0.87,0.79,1,1,0,300,1,4,2,4,1,2,1,3,4,5,1,1,5,4,1,4,5,1,2,2,1,4,4,2,3,1,3,4,3,3,2,5,5,4,4,5,1,1,5,4,1,3,5,4,5,1,3,1
3.69,0.6,0.79,1.0,1.0,0.69,2,1,0,300,3,0,0,3,5,3,3,1,2,3,1,4,3,3,1,1,1,4,1,2,1,3,4,2,2,3,4,4,3,2,4,5,5,1,2,3,1,4,3,3,1,1,2,1,3,5,4,3
3.07,0.7,0.55,0.79,0.97,0.79,2,2,1,200,2,1,0,4,0,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,3,4,3,1,1,2,2,2,2,1
2.8,1.0,0.7,0.9,0.89,0.89,1,1,1,300,1,4,1,0,0,3,1,3,3,3,2,1,1,4,3,3,2,5,2,3,5,5,2,4,3,3,1,2,5,1,4,5,3,4,3,3,2,1,1,4,3,3,3,5,1,5,5,1
1.9,0.89,0.96,0.6,0.91,0.7,1,2,0,200,2,0,0,2,3,1,3,3,2,1,4,5,2,3,2,1,2,1,2,4,3,3,2,3,2,2,5,1,3,2,2,4,1,5,2,1,4,5,2,3,2,1,1,5,4,5,2,3
3.35,0.91,0.8,0.79,0.84,0.67,2,3,1,200,1,3,4,2,3,2,5,4,3,3,4,2,5,5,4,1,3,4,2,3,3,2,2,3,3,2,1,2,3,2,4,2,2,4,3,3,4,2,5,5,4,3,3,3,3,3,3,5
2.17,0.57,0.77,0.73,0.65,0.69,2,1,0,200,2,3,0,2,3,3,5,4,3,5,4,3,3,2,3,2,4,2,2,1,3,3,2,3,5,5,3,3,2,4,5,2,5,4,5,3,4,2,3,2,1,2,2,3,3,2,2,3
2.3,0.6,0.93,0.7,0.83,0.69,1,2,1,300,2,2,2,5,5,2,2,1,4,3,2,2,2,3,5,2,3,1,2,5,1,2,1,4,1,3,3,1,4,4,5,2,2,5,4,3,2,2,2,3,5,2,2,2,2,2,4,2
3.0,0.89,0.79,0.7,0.96,0.7,1,1,1,300,3,0,0,3,3,3,3,2,3,4,3,2,4,2,3,3,1,1,3,5,4,2,1,4,2,1,2,5,1,2,1,1,3,1,3,4,3,2,4,2,3,5,2,4,2,3,3,3
2.78,0.88,0.79,0.89,0.97,0.79,2,1,0,300,1,4,0,2,2,1,2,3,1,4,3,1,5,2,3,4,3,2,1,3,4,4,2,3,1,4,4,4,2,1,2,3,2,5,1,4,3,1,5,2,3,1,2,3,2,2,4,2
3.56,0.6,0.66,1.0,1.0,0.92,1,1,0,200,3,1,0,2,3,1,5,4,3,4,4,5,3,1,3,3,4,3,1,4,2,4,2,4,4,3,2,2,4,2,3,1,4,3,3,4,4,5,3,1,3,2,3,3,4,2,1,5
3.04,0.92,0.7,0.7,1.0,0.9,1,1,0,300,3,0,0,4,1,3,3,3,3,1,5,3,3,3,2,2,3,1,3,1,4,3,5,5,3,5,2,5,1,2,2,2,1,2,3,1,5,3,3,3,2,2,1,3,3,4,2,3
2.6,0.67,0.63,0.68,0.63,0.68,2,3,1,200,2,2,4,2,5,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,5,4,3,3,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1
2.88,0.69,0.7,0.79,1.0,0.7,1,4,1,300,2,0,0,2,0,1,3,2,1,2,2,4,5,4,1,2,3,2,4,5,3,2,1,5,3,2,3,2,2,3,5,3,2,3,1,2,2,4,5,4,1,1,3,2,2,4,4,3
2.75,1.0,0.7,0.89,1.0,1.0,1,1,0,200,2,0,0,3,3,2,2,2,2,3,3,2,2,3,5,2,1,2,3,2,1,2,5,3,2,3,2,1,2,1,3,1,3,4,2,3,3,2,2,3,5,1,1,1,2,3,3,2
3.43,0.78,0.7,0.83,0.84,0.69,1,0,0,300,2,1,0,2,1,2,4,2,5,4,1,5,3,4,5,1,1,4,1,3,3,3,3,2,1,3,1,3,1,2,2,2,5,2,5,4,1,5,3,4,5,5,3,4,5,2,3,4
2.45,0.93,0.99,0.89,0.81,0.68,1,0,0,200,1,4,4,3,1,0,1,1,1,3,3,4,1,1,4,2,3,3,1,5,5,1,3,2,5,3,3,2,1,2,3,2,2,3,1,3,3,4,1,1,4,5,2,3,4,2,5,1
2.19,0.67,0.7,0.69,1.0,0.9,1,1,1,200,1,4,0,4,5,2,3,3,4,2,4,2,4,4,5,3,2,3,3,4,5,2,1,5,1,1,1,5,3,1,2,3,5,1,4,2,4,2,4,4,5,1,5,3,1,4,2,3
2.05,0.69,0.99,0.79,0.93,1.0,2,2,0,300,1,4,0,2,1,2,3,1,1,4,4,4,4,2,5,3,1,4,2,2,3,4,3,2,4,2,1,2,3,4,3,3,3,2,1,4,4,4,4,2,5,1,5,2,2,4,3,3
2.78,0.87,1.0,0.77,0.85,0.79,1,3,0,300,2,1,0,3,3,3,1,4,5,2,3,2,3,4,4,3,1,5,1,2,2,2,3,3,2,1,1,2,5,3,2,4,2,3,5,2,3,2,3,4,4,3,4,2,3,3,4,1
3.02,0.55,0.9,0.79,0.73,0.66,0,2,0,300,3,0,2,3,1,1,5,5,3,5,2,2,5,3,5,4,2,3,3,2,2,2,5,3,5,4,2,3,1,1,4,5,4,2,3,5,2,2,5,3,5,2,3,4,2,2,3,5
2.82,0.69,0.89,1.0,0.86,0.89,2,3,1,300,2,1,0,2,1,2,3,2,2,3,2,3,3,3,2,2,1,4,3,2,4,2,4,1,5,2,3,3,3,4,2,3,2,2,2,3,2,3,3,3,2,2,2,4,2,1,2,3
2.26,0.67,0.7,0.69,0.82,0.87,2,3,0,300,2,1,1,2,1,1,3,4,4,5,3,4,1,4,3,4,2,2,3,2,1,5,5,1,2,1,5,5,3,5,4,4,3,2,4,5,3,4,1,4,3,4,1,4,3,2,2,3
2.4,0.89,0.78,1.0,0.86,0.79,2,1,0,200,1,4,4,3,3,1,1,1,3,5,3,1,1,4,1,1,1,4,4,3,1,3,3,2,1,2,1,1,5,4,3,5,5,1,1,1,1,1,1,4,1,1,1,1,3,5,5,4
3.1,0.69,0.68,0.77,1.0,0.7,2,3,1,200,3,0,0,2,1,1,4,4,2,2,1,4,2,3,4,2,3,1,2,3,1,2,1,3,5,3,3,3,2,3,3,2,3,1,2,2,1,4,2,3,4,4,1,4,4,5,1,4
3.22,0.88,0.93,0.6,0.69,1.0,2,2,0,300,2,1,2,2,3,1,2,1,3,5,1,3,4,1,4,3,1,2,1,3,3,3,2,1,1,2,2,3,2,4,4,4,5,2,3,5,1,3,4,1,4,2,1,3,4,5,3,2
1.88,0.89,0.6,0.66,0.97,0.69,2,1,0,300,2,0,0,2,3,2,2,4,5,1,2,4,2,5,3,5,3,3,2,2,2,2,1,1,3,3,3,2,3,3,2,5,2,2,5,1,2,4,2,5,3,1,2,2,1,5,2,2
2.39,0.9,0.9,0.79,0.75,0.89,1,3,0,300,1,2,2,2,1,1,2,3,5,1,2,2,1,4,3,3,3,1,2,4,1,3,4,2,5,4,4,5,3,3,4,3,2,5,5,1,2,2,1,4,3,1,3,2,4,2,4,2
3.35,0.78,0.69,0.69,0.91,1.0,1,3,1,200,2,2,0,3,2,0,5,4,3,1,2,2,3,3,2,2,2,3,4,5,4,2,2,3,1,1,2,5,1,2,4,3,3,4,3,1,2,2,3,3,2,3,4,3,3,2,5,5
2.62,0.89,0.49,1.0,0.94,0.7,1,2,0,200,2,1,1,4,3,1,1,3,2,2,3,4,2,3,5,3,4,1,1,1,1,1,2,5,2,3,4,5,4,3,3,4,5,1,1,1,1,3,3,3,5,1,2,1,1,1,3,3
3.19,0.66,0.92,0.69,0.86,0.85,1,3,0,200,2,2,0,3,1,2,3,3,5,2,3,4,3,4,4,4,4,4,4,2,5,4,4,5,2,4,1,3,1,1,2,1,3,2,5,2,3,4,3,4,4,4,4,3,1,3,4,3
3.35,0.92,0.9,0.7,0.97,1.0,1,0,1,200,2,0,0,3,1,0,1,3,4,4,2,3,3,3,2,4,3,4,5,2,5,2,3,5,3,3,3,3,2,4,3,1,3,2,4,4,2,3,3,3,2,2,1,1,1,4,1,1
3.3,0.69,0.93,0.69,0.88,0.88,1,3,0,300,4,0,0,2,3,1,2,3,3,1,1,4,4,5,2,4,3,3,3,4,2,4,4,2,3,1,5,3,1,3,5,4,1,1,3,1,1,4,4,5,2,2,2,3,4,3,3,2
2.0,0.65,1.0,1.0,0.77,0.77,2,0,0,200,1,4,0,5,1,1,2,3,2,1,1,2,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,1,5,3,3,4,4,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2
3.27,0.7,0.7,0.63,0.73,0.89,1,1,0,300,1,4,0,4,1,3,1,2,2,1,1,3,2,5,3,4,5,3,3,4,5,2,3,4,1,1,1,4,4,2,1,3,5,1,2,1,1,3,2,5,3,3,3,4,3,3,2,1
3.17,1.0,1.0,0.85,0.7,0.68,2,2,1,300,4,0,2,2,1,1,3,3,4,1,4,3,3,4,2,4,5,3,1,3,1,2,3,2,2,3,5,3,1,3,3,4,5,2,4,1,4,3,3,4,2,4,2,3,2,3,3,3
2.87,0.7,0.7,0.6,0.64,1.0,1,2,1,300,1,2,0,2,3,3,3,5,3,5,3,1,4,1,1,4,1,2,5,4,5,1,4,3,3,3,4,3,3,4,2,3,3,4,3,5,3,1,4,1,1,3,2,2,1,3,3,3
3.35,0.7,1.0,0.7,0.93,0.69,0,4,1,200,2,0,1,3,3,2,1,3,3,3,1,4,3,1,3,2,3,5,2,5,3,5,2,2,4,2,4,1,2,3,3,2,3,4,3,3,1,4,3,1,3,3,3,2,5,2,1,1
1.1,0.89,0.9,0.87,0.87,0.79,1,3,1,300,2,2,4,2,1,1,3,3,2,3,5,3,2,3,5,2,2,2,5,5,2,1,1,4,5,3,5,2,2,4,3,4,5,4,2,3,5,3,2,3,5,3,4,3,4,3,2,3
2.25,0.79,1.0,0.77,0.91,0.7,2,3,0,300,1,2,0,5,3,0,3,3,2,3,3,5,5,4,3,5,3,5,1,3,1,5,1,5,3,5,3,4,3,3,2,1,4,4,2,3,3,5,5,4,3,4,1,2,3,4,3,3
3.31,0.9,0.79,0.7,0.94,0.89,2,1,0,200,4,0,2,2,2,2,3,3,3,2,3,1,2,3,2,1,4,4,4,4,2,3,3,2,2,3,4,4,3,1,3,2,3,2,3,2,3,1,2,3,2,3,2,2,3,4,3,3
2.26,0.84,0.59,0.7,0.82,0.89,0,1,0,300,4,0,4,3,1,2,5,1,3,4,1,3,2,3,3,2,4,1,3,5,2,3,4,2,2,4,1,5,5,1,2,2,4,4,3,4,1,3,2,3,3,3,4,3,5,1,2,5
1.83,1.0,0.89,0.92,1.0,0.59,2,1,0,300,1,2,4,2,2,2,1,2,4,3,2,2,2,4,2,1,3,3,5,2,3,2,1,4,4,5,1,4,5,1,2,4,2,5,4,3,2,2,2,4,2,2,3,2,1,4,1,1
2.93,1.0,1.0,0.99,0.94,0.69,1,1,1,200,1,2,1,2,3,1,2,4,5,2,3,3,3,2,1,1,4,3,4,3,4,1,1,1,2,3,3,2,5,5,2,3,2,1,5,2,3,3,3,2,1,5,5,5,3,1,3,2
3.05,0.83,0.89,0.87,0.86,0.89,2,1,0,200,2,2,0,3,1,2,3,2,4,4,2,3,2,3,3,3,2,3,3,3,4,2,3,4,2,4,2,4,2,3,5,4,3,3,4,2,2,2,2,4,2,2,1,2,2,2,2,2
2.81,1.0,0.7,0.77,0.87,0.79,0,2,0,300,2,2,0,4,1,1,1,3,3,1,2,1,1,2,4,2,3,2,2,3,2,3,5,4,2,2,3,3,3,1,1,4,5,4,3,1,2,1,1,2,4,4,2,5,5,2,4,1
3.1,0.89,0.8,0.6,0.92,0.95,0,2,1,200,1,2,0,4,1,2,2,2,1,4,5,5,1,1,4,3,3,4,4,4,5,3,1,2,2,2,4,2,5,4,3,2,1,2,1,4,5,5,1,1,4,5,3,2,4,1,5,2
2.38,0.93,0.7,0.57,0.87,1.0,2,2,1,300,1,4,0,1,2,2,5,4,2,1,2,4,2,3,5,3,2,2,3,3,5,1,4,3,2,4,3,1,4,1,2,3,4,3,2,1,2,4,2,3,5,4,2,3,1,5,4,5
2.38,0.64,0.59,1.0,0.87,0.6,2,1,1,200,1,2,1,2,3,2,3,2,3,2,1,3,2,2,2,2,4,3,3,2,2,2,1,3,2,3,2,2,3,2,3,4,3,2,3,1,3,3,2,3,2,3,2,3,2,2,1,3
3.26,0.86,0.83,0.83,0.83,0.93,1,2,0,200,1,0,0,4,1,0,2,3,2,1,2,2,2,2,5,2,5,1,5,2,5,2,2,4,5,5,2,5,5,3,2,4,2,4,4,4,4,4,2,4,1,1,2,2,2,2,2,1
2.92,0.7,0.94,0.79,0.71,0.7,1,3,1,200,2,2,1,2,1,1,5,5,3,5,3,3,3,1,5,2,3,3,1,4,5,2,2,3,4,2,2,5,3,4,2,3,2,1,3,5,3,3,3,1,5,3,4,1,3,1,3,5
3.11,0.9,0.69,0.65,1.0,0.89,2,3,1,300,2,4,0,3,5,2,3,1,4,3,1,4,3,3,3,4,3,1,3,3,4,5,2,4,5,5,2,5,5,2,4,3,5,4,4,3,1,4,3,3,3,3,1,1,1,2,5,3
3.13,0.79,0.79,0.93,0.94,0.79,0,2,1,300,2,1,0,3,3,1,4,4,5,3,3,4,1,3,3,4,2,2,4,4,4,1,2,4,2,2,4,2,3,4,2,3,3,1,5,3,3,4,1,3,3,2,3,1,4,3,1,4
3.38,0.72,0.69,1.0,0.6,0.78,2,1,1,300,2,1,0,3,0,1,1,2,5,3,1,3,3,4,2,2,3,3,3,4,2,1,2,5,2,1,2,3,1,5,2,2,4,3,5,3,1,3,3,4,2,4,1,1,3,3,2,1
3.74,0.78,0.8,0.7,0.68,0.79,1,3,1,200,2,1,0,3,5,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,5,4,4,5,4,4,2,2,5,1,3,5,5,3,4,3,3,4,3,5,3,3,3,3,3,3,3,2
3.19,0.79,0.69,0.69,0.95,0.73,1,2,0,200,2,2,0,2,3,2,3,5,2,2,2,2,4,4,3,4,4,4,4,4,4,3,2,3,2,5,4,4,3,2,2,2,5,1,2,2,2,2,4,4,3,5,5,3,3,1,3,3
2.64,0.9,0.96,0.7,0.88,0.9,0,1,1,300,2,1,1,3,1,3,4,3,1,4,2,5,2,4,3,2,4,4,1,3,1,3,5,1,3,3,2,4,3,1,3,2,3,4,1,4,2,5,2,4,3,3,4,3,5,3,3,4
3.33,0.87,0.8,0.8,0.81,0.9,1,0,0,200,2,3,0,2,4,1,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,4,3,4,4,4,2,1,3,3,4,2,2,3,4,4,3,4,4,4,5,5,5,3,4,4,3,3
3.31,0.96,0.79,0.89,0.73,0.7,1,3,0,300,2,2,0,2,1,0,2,3,3,5,5,3,1,1,5,4,4,1,5,3,5,1,1,5,2,3,3,2,2,3,3,3,2,1,3,5,5,3,1,1,5,5,3,1,3,4,2,2
