GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,Year_study,Gender_Female,Gender_Male,Programme_ENT,Programme_Nursing,RISK_LABEL
3.07,0.89,0.69,0.77,0.73,0.99,2,2,4,1,2,2,6,2,1,2,3,5,4,3,3,5,3,2,4,3,5,3,3,2,1,2,2,3,4,3,4,2,1,2,3,3,3,5,4,3,3,5,3,5,4,3,1,4,2,1,3,1,0,0,1,Moderate Risk
2.95,0.79,1.0,0.7,0.94,0.9,2,5,3,3,1,3,6,3,4,2,2,2,3,5,2,1,3,3,1,2,5,1,3,3,1,3,3,2,5,3,2,1,1,2,4,1,2,2,3,5,2,1,3,2,3,3,2,2,1,4,2,0,1,0,1,Low Risk
2.86,0.66,0.87,0.79,0.6,0.79,2,4,2,3,1,3,4,3,1,2,4,3,1,2,2,2,3,2,2,3,2,3,3,2,4,3,4,4,2,1,5,4,5,4,3,4,4,3,1,2,2,2,3,1,3,4,1,4,3,1,3,0,1,0,1,Low Risk
2.78,0.87,1.0,0.77,0.85,0.79,2,4,3,2,1,3,4,4,1,4,5,2,3,2,3,4,4,3,1,5,1,2,2,2,3,3,2,1,1,2,5,3,2,4,2,3,5,2,3,2,3,4,4,3,4,2,3,3,4,1,3,1,0,0,1,Moderate Risk
0.98,0.79,1.0,0.92,1.0,0.72,2,5,3,2,2,2,2,4,5,3,4,4,4,5,2,1,2,3,1,2,4,4,2,3,2,1,3,2,4,2,2,2,4,2,4,3,4,4,4,5,2,1,2,3,1,1,1,3,3,5,3,0,1,0,1,High Risk
3.08,0.9,0.63,0.89,0.9,0.7,1,5,2,5,1,4,2,3,4,1,3,2,3,4,2,5,1,2,2,2,5,1,5,3,1,4,2,2,3,3,2,2,5,4,2,2,3,2,3,4,2,5,1,2,2,3,3,2,3,4,2,1,0,0,1,Moderate Risk
2.44,1.0,1.0,0.69,0.7,0.79,2,2,4,2,2,3,4,2,3,3,2,4,2,5,1,3,3,4,5,1,5,5,3,4,2,3,4,1,1,2,3,4,3,3,4,3,2,4,2,5,1,3,3,2,3,2,2,3,2,3,3,1,0,0,1,Moderate Risk
1.74,0.79,0.9,0.91,0.74,0.79,3,4,2,5,1,2,2,3,4,5,2,3,3,3,2,1,4,3,1,1,4,4,2,1,2,5,4,2,1,2,2,3,3,2,4,4,2,3,3,3,2,1,4,2,3,1,3,2,4,4,3,1,0,0,1,High Risk
2.42,0.79,0.8,0.9,0.75,0.94,2,2,3,2,2,5,3,3,4,2,1,4,1,4,3,3,3,3,3,5,5,2,2,1,1,3,3,3,1,2,3,4,2,3,2,3,1,4,1,4,3,3,3,5,3,4,4,3,5,4,2,0,1,0,1,High Risk
3.48,0.79,0.7,0.79,0.93,0.99,2,3,3,3,1,1,6,1,3,3,2,3,2,3,4,3,2,4,4,4,2,2,4,3,1,5,4,5,2,3,2,3,4,2,4,3,2,3,2,3,4,3,2,3,2,3,4,2,3,3,3,1,0,0,1,Low Risk
1.57,0.5,0.92,0.89,0.47,0.7,3,3,3,3,1,2,2,3,3,2,3,2,3,3,3,4,2,4,3,2,1,3,3,4,2,2,2,2,3,4,1,5,4,2,2,3,3,3,3,3,3,3,2,4,3,4,3,4,3,4,2,0,1,0,1,High Risk
3.11,0.78,0.79,0.79,0.89,0.96,1,4,3,2,2,5,3,1,3,5,3,3,2,1,4,3,5,3,1,3,2,3,2,1,4,1,3,5,1,3,2,3,3,5,1,5,3,3,2,1,4,3,5,4,1,4,2,1,2,3,3,1,0,0,1,Low Risk
1.9,0.78,0.7,0.68,1.0,0.57,1,3,5,1,4,3,3,1,5,3,2,2,1,4,4,3,1,2,4,1,3,5,2,3,1,5,2,1,2,2,2,2,3,5,3,4,2,2,1,4,4,3,1,5,2,3,2,3,5,5,3,0,1,0,1,High Risk
2.52,0.99,0.7,0.7,0.78,0.79,2,2,4,1,1,3,6,2,2,3,2,1,4,2,5,2,2,2,2,1,3,5,2,2,5,3,3,4,4,1,3,1,1,5,5,4,2,1,4,2,5,2,2,3,4,1,4,4,2,2,2,0,1,0,1,High Risk
2.16,1.0,0.92,0.89,0.9,1.0,3,3,3,2,1,3,4,1,3,2,3,1,3,2,4,3,3,2,3,5,1,1,4,2,3,3,2,3,3,3,5,2,3,2,1,3,3,1,3,2,4,3,3,2,2,3,5,1,4,3,3,1,0,0,1,Low Risk
2.2,0.88,0.66,0.85,0.9,1.0,2,5,2,4,1,1,2,2,3,1,3,5,2,3,2,2,4,1,2,3,3,2,4,5,3,4,3,5,4,4,3,3,3,5,5,4,3,5,2,3,2,2,4,3,2,5,5,1,4,3,3,1,0,0,1,High Risk
2.94,0.7,0.89,1.0,0.96,0.67,2,4,2,3,2,3,2,4,2,1,4,3,3,2,5,1,2,4,2,4,3,2,4,1,3,3,2,3,1,4,1,5,1,5,3,4,4,3,3,2,5,1,2,4,5,5,5,2,3,2,3,0,1,0,1,High Risk
3.69,0.93,0.79,0.7,0.91,0.99,3,2,5,1,1,1,3,1,4,2,3,3,3,3,3,1,5,3,4,2,1,1,1,2,3,3,4,2,2,4,4,2,3,5,1,2,3,3,3,3,3,1,5,5,2,5,5,1,3,4,3,1,0,0,1,Low Risk
2.64,0.9,0.9,1.0,0.9,0.88,2,3,4,2,3,3,4,2,3,4,1,2,4,2,3,4,5,4,1,4,4,2,3,1,3,3,4,3,2,3,4,1,3,2,3,4,1,2,4,2,3,4,5,1,2,3,5,4,5,3,3,0,1,0,1,Low Risk
3.43,0.92,0.77,0.7,0.92,0.96,2,4,4,2,1,1,3,1,2,3,2,1,3,2,2,2,1,4,2,4,4,1,5,2,2,2,5,4,3,3,4,2,4,2,1,4,2,1,3,2,2,2,1,3,1,2,1,5,3,2,3,0,1,0,1,High Risk
2.89,1.0,0.87,0.87,0.99,0.93,3,3,3,3,1,2,2,3,2,4,3,4,5,1,3,2,2,3,3,3,2,4,1,3,2,1,4,5,3,3,2,4,5,2,3,1,3,4,5,1,3,2,2,2,3,3,2,4,4,2,3,0,1,0,1,Low Risk
2.59,0.96,0.79,0.89,0.74,0.66,1,5,3,3,1,3,4,1,3,5,1,5,3,5,4,3,2,5,2,3,4,3,1,3,4,3,5,2,4,5,1,4,4,3,2,2,1,5,3,5,4,3,2,1,3,1,1,2,5,3,3,0,1,0,1,High Risk
2.4,0.9,0.9,0.79,1.0,0.79,3,2,2,3,1,2,4,3,1,4,5,2,2,2,4,4,2,1,2,4,1,2,2,1,4,3,4,2,2,2,3,4,1,2,3,2,5,2,2,2,4,4,2,3,2,4,2,5,2,1,3,0,1,0,1,High Risk
3.07,0.89,0.9,0.66,1.0,0.7,2,1,5,1,1,3,4,4,4,4,1,3,3,5,3,4,1,1,1,2,4,3,3,4,3,4,5,1,3,1,4,4,4,1,5,1,1,3,3,5,3,4,1,3,2,1,1,5,1,4,3,1,0,0,1,Low Risk
2.78,0.77,0.81,0.81,0.72,0.7,2,3,3,2,1,2,3,3,4,5,4,1,3,3,3,4,5,3,4,1,5,2,5,3,4,5,4,5,4,3,2,4,4,4,3,3,4,4,4,5,3,5,1,2,3,3,2,3,3,3,2,1,0,0,1,High Risk
2.57,0.67,0.66,0.79,0.94,0.69,3,2,2,5,1,3,2,3,3,2,3,5,2,4,3,3,3,4,3,4,1,3,5,3,3,3,1,2,2,3,2,1,2,2,5,4,3,5,2,4,3,3,3,5,4,5,5,2,2,3,3,0,1,0,1,High Risk
3.39,0.57,0.99,1.0,0.86,0.9,2,2,2,3,1,1,3,2,2,3,4,4,4,2,1,1,2,3,4,5,4,3,1,2,2,2,4,4,5,4,2,2,3,4,3,3,4,4,4,2,1,1,2,2,1,1,3,2,3,2,3,1,0,0,1,Low Risk
3.02,0.7,1.0,0.92,0.91,0.79,2,5,5,1,1,3,3,3,3,4,3,3,2,4,4,4,1,2,4,5,3,3,3,4,2,5,3,1,2,4,2,3,2,5,3,1,3,3,2,4,4,4,1,4,2,3,3,2,2,3,3,0,1,0,1,Moderate Risk
2.31,0.78,0.79,0.89,1.0,0.79,2,2,3,5,2,3,3,2,5,3,4,5,4,4,3,2,5,4,3,3,4,5,1,3,2,5,5,4,1,2,4,4,1,1,3,3,4,5,4,4,3,2,5,3,2,3,4,4,5,5,2,1,0,0,1,Moderate Risk
3.41,0.89,0.7,0.7,1.0,0.89,2,4,3,2,2,2,1,3,4,2,1,3,3,4,3,2,3,2,2,3,4,3,2,4,3,5,5,2,2,3,1,3,5,1,3,3,1,3,3,4,3,2,3,2,1,2,5,2,5,4,3,1,0,0,1,Low Risk
2.54,0.77,0.69,0.69,0.49,1.0,2,4,3,2,1,2,3,3,5,5,2,3,1,1,4,1,3,1,2,3,4,5,3,3,3,2,1,4,3,1,3,3,2,4,4,3,2,3,1,1,4,1,3,2,4,2,4,3,3,5,3,0,1,0,1,Low Risk
2.4,0.75,0.59,0.93,0.92,0.78,2,2,3,3,2,4,2,3,3,2,1,5,4,2,3,1,3,2,3,2,3,4,3,2,5,4,3,2,3,3,2,3,2,3,2,3,5,4,4,2,3,2,1,4,3,2,3,4,3,2,2,0,1,0,1,Low Risk
2.21,0.53,0.8,0.89,0.72,0.6,2,3,4,1,1,2,1,3,5,3,3,5,3,3,4,3,3,3,2,3,4,3,2,3,2,1,3,1,3,3,1,5,5,1,1,5,4,5,4,5,3,3,5,5,5,5,4,3,3,3,2,1,0,0,1,Moderate Risk
2.38,0.93,0.7,0.57,0.87,1.0,3,3,2,5,1,1,3,3,5,4,2,1,2,4,2,3,5,3,2,2,3,3,5,1,4,3,2,4,3,1,4,1,2,3,4,3,2,1,2,4,2,3,5,4,2,3,1,5,4,5,3,0,1,0,1,High Risk
3.57,0.75,0.7,0.79,0.95,1.0,3,2,3,5,1,2,4,1,2,3,3,2,2,5,1,3,2,3,5,3,3,4,3,4,1,4,2,3,1,1,5,2,3,5,4,2,3,2,2,5,1,3,2,3,3,4,1,2,3,2,2,0,1,0,1,Low Risk
2.7,0.92,1.0,0.69,0.77,0.73,2,2,2,5,2,3,2,3,4,4,3,3,5,2,3,1,1,1,1,5,3,3,2,1,4,1,2,2,2,3,1,3,5,1,3,3,3,3,5,2,3,1,1,3,2,4,4,3,3,4,3,1,0,0,1,Low Risk
2.67,0.79,0.98,0.79,0.91,0.69,3,4,2,3,3,5,4,3,2,1,3,3,2,4,3,4,3,3,2,4,2,4,5,2,2,1,3,3,3,2,4,4,3,5,4,4,3,3,2,4,3,4,3,2,2,2,2,3,4,2,2,1,0,0,1,Low Risk
2.93,0.69,0.78,1.0,0.91,0.89,1,4,4,1,1,2,6,3,3,4,1,3,4,3,1,3,3,3,3,4,1,2,2,2,4,1,1,3,3,4,4,1,3,3,3,2,1,3,4,3,1,3,3,5,2,5,5,2,2,3,3,0,1,0,1,Low Risk
2.36,0.69,0.78,0.99,0.98,0.92,1,2,3,2,1,2,2,3,1,1,5,1,2,1,1,5,1,4,3,4,3,1,1,1,5,2,3,3,1,4,3,2,3,2,3,3,5,1,2,1,1,5,1,3,2,4,4,3,3,1,3,1,0,0,1,Low Risk
2.41,0.79,0.9,0.79,0.7,0.99,1,5,2,4,3,4,3,1,3,3,5,2,4,3,2,3,1,3,5,2,5,5,4,5,4,5,5,2,4,4,3,4,3,5,3,3,5,2,4,3,2,3,1,2,1,1,4,4,1,3,3,0,1,0,1,Low Risk
3.25,1.0,0.65,0.7,0.73,0.7,2,4,2,5,2,2,3,2,2,2,2,3,3,5,1,1,4,1,3,3,2,5,5,3,5,3,5,3,5,2,5,4,5,2,2,3,2,3,3,5,1,1,4,1,3,3,4,2,3,2,2,1,0,0,1,High Risk
2.96,0.68,0.9,0.93,0.91,1.0,2,2,3,1,1,3,2,3,2,3,2,1,2,4,1,3,1,3,3,4,2,4,4,2,4,5,5,5,3,2,3,2,4,2,1,3,2,1,2,4,1,3,1,4,2,3,5,3,3,2,3,1,0,0,1,High Risk
2.33,0.89,0.69,0.89,0.59,0.7,2,2,2,5,2,1,6,2,2,1,2,5,5,4,5,3,1,3,5,2,2,1,4,4,2,1,1,3,1,2,3,5,3,2,5,5,2,5,5,4,5,3,1,2,2,4,2,4,3,2,3,0,1,0,1,High Risk
3.13,0.86,0.8,0.8,0.63,1.0,1,2,5,2,1,2,4,1,3,5,4,1,3,3,2,3,5,3,4,2,5,2,5,3,4,5,5,5,2,3,4,3,3,4,2,4,5,3,2,3,3,3,1,1,2,2,2,2,1,1,2,1,0,0,1,Moderate Risk
2.54,1.0,0.77,0.7,0.9,0.69,2,2,3,2,1,4,2,3,4,3,1,2,2,3,4,3,3,2,1,2,2,1,2,1,4,2,2,2,5,1,4,3,1,4,1,4,1,2,2,3,4,3,3,2,2,5,1,2,3,4,3,0,1,0,1,Low Risk
2.55,0.93,0.67,0.89,1.0,0.69,2,5,2,3,2,4,4,4,3,4,3,2,2,1,5,4,1,1,2,5,4,3,1,1,2,4,2,1,1,1,1,1,5,4,1,1,1,1,1,1,1,4,4,1,2,3,2,2,3,2,2,0,1,0,1,Low Risk
2.02,1.0,0.7,0.9,0.96,0.78,3,2,2,3,1,2,2,1,5,2,3,3,1,1,1,3,4,3,4,3,4,3,3,1,3,2,1,4,2,2,2,1,2,4,3,4,3,3,1,1,1,3,4,4,4,3,2,1,5,5,3,0,1,0,1,High Risk
3.35,0.89,0.8,0.66,1.0,0.9,2,2,3,3,1,3,2,2,2,3,5,4,2,1,1,5,4,3,3,4,2,2,5,1,4,3,3,4,3,1,5,2,4,2,2,3,5,4,2,1,1,5,4,2,3,3,3,1,4,2,2,0,1,0,1,Low Risk
2.86,0.66,0.8,0.78,0.99,0.85,3,4,3,2,2,3,1,3,3,3,4,2,1,2,3,1,3,2,1,2,4,4,1,2,4,4,3,3,5,3,3,2,2,4,5,3,4,2,1,2,3,1,3,4,4,3,4,2,4,3,2,1,0,0,1,Low Risk
2.05,0.8,0.9,0.93,0.95,0.7,2,4,3,3,4,4,6,2,2,5,1,2,1,4,1,4,3,3,2,2,2,4,3,2,1,4,2,2,3,2,4,4,3,4,4,2,1,2,1,4,1,4,3,2,4,4,3,2,2,2,3,0,1,0,1,Moderate Risk
3.45,0.79,0.69,0.63,0.72,0.69,3,5,4,1,1,2,2,2,4,4,2,3,4,2,3,2,3,1,2,3,3,4,2,3,3,2,3,4,4,5,4,4,4,5,2,3,2,3,4,2,3,2,3,3,1,3,3,4,2,4,3,0,1,0,1,Low Risk
3.13,0.76,0.92,0.92,0.65,0.8,1,2,3,4,1,3,3,3,5,4,4,1,2,2,2,2,5,4,5,2,4,2,4,5,4,4,5,4,3,4,5,3,3,2,2,4,4,3,5,5,4,4,1,2,2,2,2,1,2,2,2,0,1,0,1,Low Risk
2.57,0.7,1.0,1.0,0.88,0.69,2,4,4,2,4,3,4,2,4,3,5,1,2,1,1,3,3,1,4,4,5,2,4,2,2,2,4,3,3,4,1,3,1,2,3,1,5,1,2,1,1,3,3,4,4,2,3,2,5,4,2,0,1,0,1,Moderate Risk
2.58,0.69,0.75,1.0,0.86,0.89,2,2,2,4,4,2,6,1,2,3,3,2,2,1,2,3,4,1,4,3,3,1,2,3,3,3,2,2,2,3,3,5,2,2,2,2,3,2,2,1,2,3,4,3,4,2,3,2,1,2,2,1,0,0,1,Low Risk
2.45,0.96,0.9,0.93,0.75,0.9,1,2,4,2,1,3,4,3,3,3,2,3,2,3,2,1,2,4,1,2,1,4,4,4,1,3,3,3,2,1,2,4,3,2,5,3,2,3,2,3,2,1,2,5,1,2,2,4,4,3,3,1,0,0,1,High Risk
3.0,0.99,0.91,0.89,0.85,0.9,2,2,2,3,1,5,4,1,4,5,5,3,1,4,2,2,2,1,3,5,2,4,1,2,3,1,4,1,4,4,4,1,1,2,4,4,5,3,1,4,2,2,2,4,5,2,4,1,5,4,3,1,0,0,1,Moderate Risk
2.22,0.7,0.73,0.9,0.88,1.0,2,4,3,2,1,2,6,4,5,1,1,4,2,4,4,1,3,4,4,4,1,3,4,3,2,2,1,4,4,3,4,3,3,3,2,4,1,4,2,4,4,1,3,1,2,2,2,5,2,5,3,1,0,0,1,Moderate Risk
2.18,0.77,0.79,0.81,0.91,0.7,1,2,3,3,3,1,4,2,3,4,4,3,5,2,3,1,2,4,4,2,2,2,5,5,2,3,3,4,1,1,4,3,3,2,2,5,4,3,5,2,3,1,2,2,3,4,3,3,4,3,3,0,1,0,1,Low Risk
2.69,0.78,0.7,0.9,0.88,0.89,2,2,3,2,1,3,6,3,3,4,1,3,2,4,5,3,2,2,3,5,4,2,1,4,2,2,2,4,2,3,4,5,4,1,2,3,1,3,2,4,5,3,2,5,5,4,4,3,4,3,3,1,0,0,1,High Risk
3.06,1.0,0.66,0.8,0.88,0.89,2,4,2,5,3,2,4,3,2,3,5,4,5,3,5,1,1,5,3,3,3,4,3,2,3,3,1,1,1,4,2,1,1,3,2,3,5,4,5,3,5,1,1,5,4,1,4,1,3,2,3,1,0,0,1,Low Risk
2.61,0.9,0.7,1.0,0.87,0.69,2,2,3,3,4,4,6,3,1,3,4,4,3,3,1,3,4,5,3,5,5,5,4,5,3,3,2,5,3,4,1,2,3,3,2,2,4,4,3,3,1,3,4,3,2,1,2,4,2,1,3,0,1,0,1,High Risk
2.8,1.0,0.7,0.9,0.89,0.89,2,2,2,5,2,4,1,4,1,3,3,3,2,1,1,4,3,3,2,5,2,3,5,5,2,4,3,3,1,2,5,1,4,5,3,4,3,3,2,1,1,4,3,3,3,5,1,5,5,1,3,0,1,0,1,Moderate Risk
3.22,0.88,0.93,0.6,0.69,1.0,3,3,3,2,3,2,4,2,2,1,3,5,1,3,4,1,4,3,1,2,1,3,3,3,2,1,1,2,2,3,2,4,4,4,5,2,3,5,1,3,4,1,4,2,1,3,4,5,3,2,3,1,0,0,1,Low Risk
2.36,0.93,0.35,0.7,0.94,0.69,2,3,2,5,4,2,6,2,1,1,3,4,3,5,4,3,4,4,3,2,2,2,4,3,5,1,3,1,1,3,1,1,4,2,5,3,3,3,3,2,2,4,4,1,1,1,3,3,4,5,2,1,0,0,1,Low Risk
3.09,0.79,0.69,0.69,1.0,1.0,3,4,2,3,4,2,4,3,2,2,4,1,2,1,2,1,3,2,4,3,2,3,4,4,4,4,4,5,4,2,5,2,5,5,1,3,4,1,2,1,2,1,3,2,1,2,2,5,4,2,3,1,0,0,1,Low Risk
2.55,0.99,0.87,1.0,0.9,0.91,2,3,4,2,2,4,4,2,3,3,4,4,4,3,1,3,2,1,2,3,4,1,3,1,1,1,3,3,2,4,2,3,1,2,5,3,4,4,4,3,1,3,2,3,4,5,2,5,2,3,3,0,1,0,1,Low Risk
3.09,0.92,0.7,0.93,1.0,1.0,3,4,2,5,1,2,2,2,2,3,5,2,2,5,3,4,4,3,3,3,3,4,5,3,3,5,3,4,3,5,4,2,1,4,3,3,5,2,2,5,3,4,4,4,2,3,3,1,5,2,3,0,1,0,1,Low Risk
3.06,0.78,0.7,1.0,0.72,0.69,3,2,5,1,4,2,2,1,5,2,5,3,3,4,1,3,2,3,3,2,2,2,2,3,4,3,3,4,3,1,2,3,4,3,1,4,5,3,3,4,1,3,2,5,2,4,3,5,4,5,3,0,1,0,1,Low Risk
2.75,1.0,0.7,0.55,0.9,0.69,2,2,3,1,1,2,4,3,3,4,1,3,4,3,4,1,4,4,1,1,4,4,2,2,4,5,3,2,1,2,4,2,3,2,5,4,1,3,4,3,4,1,4,2,4,2,2,3,3,3,3,0,1,0,1,Low Risk
2.54,0.79,1.0,0.7,0.99,0.7,2,2,2,3,3,5,4,4,3,1,2,2,4,5,3,5,5,3,1,2,3,5,3,5,1,2,2,5,5,2,4,3,3,3,4,4,2,2,4,5,3,5,5,3,3,5,4,2,3,3,3,1,0,0,1,Moderate Risk
2.81,0.8,0.6,0.8,0.63,0.9,2,2,4,5,1,4,2,2,2,2,4,2,3,2,2,2,3,3,4,5,4,3,4,4,4,4,4,5,2,3,4,1,4,4,1,3,3,3,3,4,2,2,2,1,2,2,2,3,2,2,2,0,1,0,1,Moderate Risk
2.19,0.67,0.7,0.69,1.0,0.9,2,2,2,5,1,4,6,3,3,3,4,2,4,2,4,4,5,3,2,3,3,4,5,2,1,5,1,1,1,5,3,1,2,3,5,1,4,2,4,2,4,4,5,1,5,3,1,4,2,3,2,0,1,0,1,Moderate Risk
2.16,0.89,0.73,0.83,0.68,0.7,1,3,3,1,2,3,6,4,2,2,5,4,1,2,4,4,2,3,3,5,2,3,5,3,3,5,3,3,2,3,2,3,5,2,2,3,5,4,1,2,4,4,2,5,3,2,2,4,2,2,3,0,1,0,1,Low Risk
2.69,0.66,1.0,0.69,0.9,0.9,1,2,2,3,1,4,4,2,5,2,1,5,5,3,2,1,4,2,1,3,3,5,4,1,2,4,5,3,2,4,5,2,5,5,2,2,1,5,5,3,2,1,4,4,4,2,2,1,4,5,3,0,1,0,1,Moderate Risk
2.17,0.63,0.69,0.69,0.88,0.59,2,1,3,3,1,2,3,2,2,1,2,2,3,4,3,1,2,3,2,2,4,2,5,5,4,5,4,5,4,1,2,3,1,5,2,3,2,2,2,3,1,4,2,2,2,2,1,1,1,1,3,0,1,0,1,Moderate Risk
2.45,0.7,0.69,1.0,1.0,0.7,2,4,2,5,1,4,6,3,2,2,4,1,2,2,1,5,1,2,4,1,2,2,1,3,5,2,4,3,3,2,4,2,2,5,1,4,4,1,2,2,1,5,1,5,5,2,4,1,2,2,3,0,1,0,1,Low Risk
2.64,0.9,0.96,0.7,0.88,0.9,1,2,3,2,2,3,2,4,4,3,1,4,2,5,2,4,3,2,4,4,1,3,1,3,5,1,3,3,2,4,3,1,3,2,3,4,1,4,2,5,2,4,3,3,4,3,5,3,3,4,3,0,1,0,1,Low Risk
3.36,0.63,0.89,0.9,0.99,1.0,3,1,3,3,1,2,3,3,3,4,3,3,3,2,3,3,4,3,3,3,3,2,3,3,4,4,4,5,2,3,3,4,2,3,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,1,3,1,0,0,1,Low Risk
2.63,0.73,0.7,0.7,1.0,0.59,3,2,3,1,2,3,4,2,3,2,4,5,3,3,2,5,3,2,3,2,3,1,2,2,4,2,3,3,3,3,5,4,3,4,1,2,4,5,3,3,2,5,3,3,3,4,3,3,2,3,3,0,1,0,1,Low Risk
1.95,0.7,0.7,0.6,0.64,1.0,2,3,2,3,1,2,4,4,3,5,3,5,3,1,4,1,1,4,1,2,5,4,5,1,4,3,3,3,4,3,3,4,2,3,3,4,3,5,3,1,4,1,1,3,2,2,1,3,3,3,3,0,1,0,1,Low Risk
2.98,0.99,0.7,0.89,0.91,0.91,2,1,5,1,4,4,4,2,3,4,1,3,1,3,2,2,2,2,4,2,3,3,4,3,5,2,2,4,5,1,5,4,5,3,3,4,1,3,1,3,2,2,2,2,4,4,4,5,2,3,3,1,0,0,1,Low Risk
2.43,0.93,0.69,0.77,0.84,0.66,1,4,3,1,3,5,2,2,4,5,2,4,3,3,3,4,3,2,5,3,4,4,4,2,3,3,2,3,1,2,2,2,4,3,2,5,2,4,3,3,3,4,3,3,4,2,2,4,3,4,2,0,1,0,1,High Risk
