SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL,RISK_BINARY
HS2026251,2.86,0.66,0.87,0.79,0.6,0.79,Rarely,27-29 years,Male,300,Nursing,Low income,Sometimes (monthly),No,2-3 hours,6-7 hours,Moderate risk,1,2,4,3,1,2,2,2,3,2,2,3,2,3,3,2,4,3,4,4,2,1,5,4,5,4,3,4,4,3,1,2,2,2,3,1,3,4,1,4,3,1,Low Risk,0
HS2026547,2.78,0.87,1.0,0.77,0.85,0.79,Rarely,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,High risk,1,4,5,2,3,2,3,4,4,3,1,5,1,2,2,2,3,3,2,1,1,2,5,3,2,4,2,3,5,2,3,2,3,4,4,3,4,2,3,3,4,1,Moderate Risk,1
HS2026196,0.98,0.79,1.0,0.92,1.0,0.72,Rarely,30-35 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,High risk,5,3,4,4,4,5,2,1,2,3,1,2,4,4,2,3,2,1,3,2,4,2,2,2,4,2,4,3,4,4,4,5,2,1,2,3,1,1,1,3,3,5,High Risk,1
HS2026142,3.08,0.9,0.63,0.89,0.9,0.7,Almost never,30-35 years,Female,200,Nursing,Low income,Always,No,3-4 hours,4-5 hours,Moderate risk,4,1,3,2,3,4,2,5,1,2,2,2,5,1,5,3,1,4,2,2,3,3,2,2,5,4,2,2,3,2,3,4,2,5,1,2,2,3,3,2,3,4,Moderate Risk,1
HS2026393,2.44,1.0,1.0,0.69,0.7,0.79,Rarely,21-23 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Low risk,3,3,2,4,2,5,1,3,3,4,5,1,5,5,3,4,2,3,4,1,1,2,3,4,3,3,4,3,2,4,2,5,1,3,3,2,3,2,2,3,2,3,Moderate Risk,1
HS2026248,1.74,0.79,0.9,0.91,0.74,0.79,Sometimes,27-29 years,Female,300,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Moderate risk,4,5,2,3,3,3,2,1,4,3,1,1,4,4,2,1,2,5,4,2,1,2,2,3,3,2,4,4,2,3,3,3,2,1,4,2,3,1,3,2,4,4,High Risk,1
HS2026134,2.42,0.79,0.8,0.9,0.75,0.94,Rarely,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Moderate risk,4,2,1,4,1,4,3,3,3,3,3,5,5,2,2,1,1,3,3,3,1,2,3,4,2,3,2,3,1,4,1,4,3,3,3,5,3,4,4,3,5,4,High Risk,1
HS2026510,3.48,0.79,0.7,0.79,0.93,0.99,Rarely,24-26 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,Less than 1 hour,More than 8 hours,Very low risk,3,3,2,3,2,3,4,3,2,4,4,4,2,2,4,3,1,5,4,5,2,3,2,3,4,2,4,3,2,3,2,3,4,3,2,3,2,3,4,2,3,3,Low Risk,0
HS2026045,1.57,0.5,0.92,0.89,0.47,0.7,Sometimes,24-26 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,3,2,3,2,3,3,3,4,2,4,3,2,1,3,3,4,2,2,2,2,3,4,1,5,4,2,2,3,3,3,3,3,3,3,2,4,3,4,3,4,3,4,High Risk,1
HS2026548,3.11,0.78,0.79,0.79,0.89,0.96,Almost never,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Very low risk,3,5,3,3,2,1,4,3,5,3,1,3,2,3,2,1,4,1,3,5,1,3,2,3,3,5,1,5,3,3,2,1,4,3,5,4,1,4,2,1,2,3,Low Risk,0
HS2026415,1.9,0.78,0.7,0.68,1.0,0.57,Almost never,24-26 years,Male,300,Nursing,High income,Never,Yes - more than 20 hours/week,2-3 hours,5-6 hours,Very low risk,5,3,2,2,1,4,4,3,1,2,4,1,3,5,2,3,1,5,2,1,2,2,2,2,3,5,3,4,2,2,1,4,4,3,1,5,2,3,2,3,5,5,High Risk,1
HS2026112,2.52,0.99,0.7,0.7,0.78,0.79,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Never,No,2-3 hours,More than 8 hours,Low risk,2,3,2,1,4,2,5,2,2,2,2,1,3,5,2,2,5,3,3,4,4,1,3,1,1,5,5,4,2,1,4,2,5,2,2,3,4,1,4,4,2,2,High Risk,1
HS2026339,2.16,1.0,0.92,0.89,0.9,1.0,Sometimes,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,Very low risk,3,2,3,1,3,2,4,3,3,2,3,5,1,1,4,2,3,3,2,3,3,3,5,2,3,2,1,3,3,1,3,2,4,3,3,2,2,3,5,1,4,3,Low Risk,0
HS2026392,2.2,0.88,0.66,0.85,0.9,1.0,Rarely,30-35 years,Female,300,Nursing,Low income,Often (weekly),No,Less than 1 hour,4-5 hours,Low risk,3,1,3,5,2,3,2,2,4,1,2,3,3,2,4,5,3,4,3,5,4,4,3,3,3,5,5,4,3,5,2,3,2,2,4,3,2,5,5,1,4,3,High Risk,1
HS2026405,2.94,0.7,0.89,1.0,0.96,0.67,Rarely,27-29 years,Male,300,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,High risk,2,1,4,3,3,2,5,1,2,4,2,4,3,2,4,1,3,3,2,3,1,4,1,5,1,5,3,4,4,3,3,2,5,1,2,4,5,5,5,2,3,2,High Risk,1
HS2026543,3.69,0.93,0.79,0.7,0.91,0.99,Sometimes,21-23 years,Female,300,Nursing,High income,Never,No,Less than 1 hour,5-6 hours,Very low risk,4,2,3,3,3,3,3,1,5,3,4,2,1,1,1,2,3,3,4,2,2,4,4,2,3,5,1,2,3,3,3,3,3,1,5,5,2,5,5,1,3,4,Low Risk,0
HS2026265,2.64,0.9,0.9,1.0,0.9,0.88,Rarely,24-26 years,Male,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Low risk,3,4,1,2,4,2,3,4,5,4,1,4,4,2,3,1,3,3,4,3,2,3,4,1,3,2,3,4,1,2,4,2,3,4,5,1,2,3,5,4,5,3,Low Risk,0
HS2026201,3.43,0.92,0.77,0.7,0.92,0.96,Rarely,27-29 years,Male,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,Less than 1 hour,5-6 hours,Very low risk,2,3,2,1,3,2,2,2,1,4,2,4,4,1,5,2,2,2,5,4,3,3,4,2,4,2,1,4,2,1,3,2,2,2,1,3,1,2,1,5,3,2,High Risk,1
HS2026290,2.89,1.0,0.87,0.87,0.99,0.93,Sometimes,24-26 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,4,3,4,5,1,3,2,2,3,3,3,2,4,1,3,2,1,4,5,3,3,2,4,5,2,3,1,3,4,5,1,3,2,2,2,3,3,2,4,4,2,Low Risk,0
HS2026429,2.59,0.96,0.79,0.89,0.74,0.66,Almost never,30-35 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,6-7 hours,Very low risk,3,5,1,5,3,5,4,3,2,5,2,3,4,3,1,3,4,3,5,2,4,5,1,4,4,3,2,2,1,5,3,5,4,3,2,1,3,1,1,2,5,3,High Risk,1
HS2026213,2.4,0.9,0.9,0.79,1.0,0.79,Sometimes,21-23 years,Male,300,Nursing,Low income,Sometimes (monthly),No,1-2 hours,6-7 hours,Moderate risk,1,4,5,2,2,2,4,4,2,1,2,4,1,2,2,1,4,3,4,2,2,2,3,4,1,2,3,2,5,2,2,2,4,4,2,3,2,4,2,5,2,1,High Risk,1
HS2026481,3.07,0.89,0.9,0.66,1.0,0.7,Rarely,18-20 years,Female,300,Nursing,High income,Never,No,2-3 hours,6-7 hours,High risk,4,4,1,3,3,5,3,4,1,1,1,2,4,3,3,4,3,4,5,1,3,1,4,4,4,1,5,1,1,3,3,5,3,4,1,3,2,1,1,5,1,4,Low Risk,0
HS2026014,2.78,0.77,0.81,0.81,0.72,0.7,Rarely,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,5-6 hours,Moderate risk,4,5,4,1,3,3,3,4,5,3,4,1,5,2,5,3,4,5,4,5,4,3,2,4,4,4,3,3,4,4,4,5,3,5,1,2,3,3,2,3,3,3,High Risk,1
HS2026459,2.57,0.67,0.66,0.79,0.94,0.69,Sometimes,21-23 years,Male,300,Nursing,Low income,Always,No,2-3 hours,4-5 hours,Moderate risk,3,2,3,5,2,4,3,3,3,4,3,4,1,3,5,3,3,3,1,2,2,3,2,1,2,2,5,4,3,5,2,4,3,3,3,5,4,5,5,2,2,3,High Risk,1
HS2026469,3.39,0.57,0.99,1.0,0.86,0.9,Rarely,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,5-6 hours,Low risk,2,3,4,4,4,2,1,1,2,3,4,5,4,3,1,2,2,2,4,4,5,4,2,2,3,4,3,3,4,4,4,2,1,1,2,2,1,1,3,2,3,2,Low Risk,0
HS2026404,3.02,0.7,1.0,0.92,0.91,0.79,Rarely,30-35 years,Male,300,Nursing,High income,Never,No,2-3 hours,5-6 hours,Moderate risk,3,4,3,3,2,4,4,4,1,2,4,5,3,3,3,4,2,5,3,1,2,4,2,3,2,5,3,1,3,3,2,4,4,4,1,4,2,3,3,2,2,3,Moderate Risk,1
HS2026183,2.31,0.78,0.79,0.89,1.0,0.79,Rarely,21-23 years,Female,200,Nursing,Middle income,Always,Yes - fewer than 10 hours/week,2-3 hours,5-6 hours,Low risk,5,3,4,5,4,4,3,2,5,4,3,3,4,5,1,3,2,5,5,4,1,2,4,4,1,1,3,3,4,5,4,4,3,2,5,3,2,3,4,4,5,5,Moderate Risk,1
HS2026498,3.41,0.89,0.7,0.7,1.0,0.89,Rarely,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,Less than 4 hours,Moderate risk,4,2,1,3,3,4,3,2,3,2,2,3,4,3,2,4,3,5,5,2,2,3,1,3,5,1,3,3,1,3,3,4,3,2,3,2,1,2,5,2,5,4,Low Risk,0
HS2026476,2.54,0.77,0.69,0.69,0.49,1.0,Rarely,27-29 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,5-6 hours,Moderate risk,5,5,2,3,1,1,4,1,3,1,2,3,4,5,3,3,3,2,1,4,3,1,3,3,2,4,4,3,2,3,1,1,4,1,3,2,4,2,4,3,3,5,Low Risk,0
HS2026062,2.4,0.75,0.59,0.93,0.92,0.78,Rarely,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,2,1,5,4,2,3,1,3,2,3,2,3,4,3,2,5,4,3,2,3,3,2,3,2,3,2,3,5,4,4,2,3,2,1,4,3,2,3,4,3,2,Low Risk,0
HS2026049,2.21,0.53,0.8,0.89,0.72,0.6,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Never,No,1-2 hours,Less than 4 hours,Moderate risk,5,3,3,5,3,3,4,3,3,3,2,3,4,3,2,3,2,1,3,1,3,3,1,5,5,1,1,5,4,5,4,5,3,3,5,5,5,5,4,3,3,3,Moderate Risk,1
HS2026235,2.38,0.93,0.7,0.57,0.87,1.0,Sometimes,24-26 years,Male,300,Nursing,Low income,Always,No,Less than 1 hour,5-6 hours,Moderate risk,5,4,2,1,2,4,2,3,5,3,2,2,3,3,5,1,4,3,2,4,3,1,4,1,2,3,4,3,2,1,2,4,2,3,5,4,2,3,1,5,4,5,High Risk,1
HS2026087,3.57,0.75,0.7,0.79,0.95,1.0,Sometimes,21-23 years,Male,200,Nursing,Middle income,Always,No,1-2 hours,6-7 hours,Very low risk,2,3,3,2,2,5,1,3,2,3,5,3,3,4,3,4,1,4,2,3,1,1,5,2,3,5,4,2,3,2,2,5,1,3,2,3,3,4,1,2,3,2,Low Risk,0
HS2026558,2.7,0.92,1.0,0.69,0.77,0.73,Rarely,21-23 years,Female,300,Nursing,Low income,Always,Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,Moderate risk,4,4,3,3,5,2,3,1,1,1,1,5,3,3,2,1,4,1,2,2,2,3,1,3,5,1,3,3,3,3,5,2,3,1,1,3,2,4,4,3,3,4,Low Risk,0
HS2026123,2.67,0.79,0.98,0.79,0.91,0.69,Sometimes,27-29 years,Female,200,Nursing,Low income,Sometimes (monthly),Yes - 10-20 hours/week,More than 4 hours,6-7 hours,Moderate risk,2,1,3,3,2,4,3,4,3,3,2,4,2,4,5,2,2,1,3,3,3,2,4,4,3,5,4,4,3,3,2,4,3,4,3,2,2,2,2,3,4,2,Low Risk,0
HS2026401,2.93,0.69,0.78,1.0,0.91,0.89,Almost never,27-29 years,Male,300,Nursing,Upper-middle income,Never,No,1-2 hours,More than 8 hours,Moderate risk,3,4,1,3,4,3,1,3,3,3,3,4,1,2,2,2,4,1,1,3,3,4,4,1,3,3,3,2,1,3,4,3,1,3,3,5,2,5,5,2,2,3,Low Risk,0
HS2026324,2.36,0.69,0.78,0.99,0.98,0.92,Almost never,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Moderate risk,1,1,5,1,2,1,1,5,1,4,3,4,3,1,1,1,5,2,3,3,1,4,3,2,3,2,3,3,5,1,2,1,1,5,1,3,2,4,4,3,3,1,Low Risk,0
HS2026296,2.41,0.79,0.9,0.79,0.7,0.99,Almost never,30-35 years,Male,300,Nursing,Low income,Often (weekly),Yes - 10-20 hours/week,3-4 hours,5-6 hours,Very low risk,3,3,5,2,4,3,2,3,1,3,5,2,5,5,4,5,4,5,5,2,4,4,3,4,3,5,3,3,5,2,4,3,2,3,1,2,1,1,4,4,1,3,Low Risk,0
HS2026152,3.25,1.0,0.65,0.7,0.73,0.7,Rarely,27-29 years,Female,200,Nursing,Low income,Always,Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,2,2,2,3,3,5,1,1,4,1,3,3,2,5,5,3,5,3,5,3,5,2,5,4,5,2,2,3,2,3,3,5,1,1,4,1,3,3,4,2,3,2,High Risk,1
HS2026441,2.96,0.68,0.9,0.93,0.91,1.0,Rarely,21-23 years,Female,300,Nursing,Middle income,Never,No,2-3 hours,4-5 hours,Moderate risk,2,3,2,1,2,4,1,3,1,3,3,4,2,4,4,2,4,5,5,5,3,2,3,2,4,2,1,3,2,1,2,4,1,3,1,4,2,3,5,3,3,2,High Risk,1
HS2026238,2.33,0.89,0.69,0.89,0.59,0.7,Rarely,21-23 years,Male,300,Nursing,Low income,Always,Yes - fewer than 10 hours/week,Less than 1 hour,More than 8 hours,Low risk,2,1,2,5,5,4,5,3,1,3,5,2,2,1,4,4,2,1,1,3,1,2,3,5,3,2,5,5,2,5,5,4,5,3,1,2,2,4,2,4,3,2,High Risk,1
HS2026016,3.13,0.86,0.8,0.8,0.63,1.0,Almost never,21-23 years,Female,200,Nursing,High income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Very low risk,3,5,4,1,3,3,2,3,5,3,4,2,5,2,5,3,4,5,5,5,2,3,4,3,3,4,2,4,5,3,2,3,3,3,1,1,2,2,2,2,1,1,Moderate Risk,1
HS2026484,2.54,1.0,0.77,0.7,0.9,0.69,Rarely,21-23 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,4-5 hours,Moderate risk,4,3,1,2,2,3,4,3,3,2,1,2,2,1,2,1,4,2,2,2,5,1,4,3,1,4,1,4,1,2,2,3,4,3,3,2,2,5,1,2,3,4,Low Risk,0
HS2026071,2.55,0.93,0.67,0.89,1.0,0.69,Rarely,30-35 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,High risk,3,4,3,2,2,1,5,4,1,1,2,5,4,3,1,1,2,4,2,1,1,1,1,1,5,4,1,1,1,1,1,1,1,4,4,1,2,3,2,2,3,2,Low Risk,0
HS2026263,2.02,1.0,0.7,0.9,0.96,0.78,Sometimes,21-23 years,Male,300,Nursing,Low income,Sometimes (monthly),No,1-2 hours,4-5 hours,Very low risk,5,2,3,3,1,1,1,3,4,3,4,3,4,3,3,1,3,2,1,4,2,2,2,1,2,4,3,4,3,3,1,1,1,3,4,4,4,3,2,1,5,5,High Risk,1
HS2026162,3.35,0.89,0.8,0.66,1.0,0.9,Rarely,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Low risk,2,3,5,4,2,1,1,5,4,3,3,4,2,2,5,1,4,3,3,4,3,1,5,2,4,2,2,3,5,4,2,1,1,5,4,2,3,3,3,1,4,2,Low Risk,0
HS2026102,2.86,0.66,0.8,0.78,0.99,0.85,Sometimes,27-29 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,Less than 4 hours,Moderate risk,3,3,4,2,1,2,3,1,3,2,1,2,4,4,1,2,4,4,3,3,5,3,3,2,2,4,5,3,4,2,1,2,3,1,3,4,4,3,4,2,4,3,Low Risk,0
HS2026222,2.05,0.8,0.9,0.93,0.95,0.7,Rarely,27-29 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,3-4 hours,More than 8 hours,Low risk,2,5,1,2,1,4,1,4,3,3,2,2,2,4,3,2,1,4,2,2,3,2,4,4,3,4,4,2,1,2,1,4,1,4,3,2,4,4,3,2,2,2,Moderate Risk,1
HS2026304,3.45,0.79,0.69,0.63,0.72,0.69,Sometimes,30-35 years,Male,300,Nursing,Upper-middle income,Never,No,1-2 hours,4-5 hours,Low risk,4,4,2,3,4,2,3,2,3,1,2,3,3,4,2,3,3,2,3,4,4,5,4,4,4,5,2,3,2,3,4,2,3,2,3,3,1,3,3,4,2,4,Low Risk,0
HS2026023,3.13,0.76,0.92,0.92,0.65,0.8,Almost never,21-23 years,Male,200,Nursing,Middle income,Often (weekly),No,2-3 hours,5-6 hours,Moderate risk,5,4,4,1,2,2,2,2,5,4,5,2,4,2,4,5,4,4,5,4,3,4,5,3,3,2,2,4,4,3,5,5,4,4,1,2,2,2,2,1,2,2,Low Risk,0
HS2026105,2.57,0.7,1.0,1.0,0.88,0.69,Rarely,27-29 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,2-3 hours,6-7 hours,Low risk,4,3,5,1,2,1,1,3,3,1,4,4,5,2,4,2,2,2,4,3,3,4,1,3,1,2,3,1,5,1,2,1,1,3,3,4,4,2,3,2,5,4,Moderate Risk,1
HS2026168,2.58,0.69,0.75,1.0,0.86,0.89,Rarely,21-23 years,Female,200,Nursing,Low income,Often (weekly),Yes - more than 20 hours/week,1-2 hours,More than 8 hours,Very low risk,2,3,3,2,2,1,2,3,4,1,4,3,3,1,2,3,3,3,2,2,2,3,3,5,2,2,2,2,3,2,2,1,2,3,4,3,4,2,3,2,1,2,Low Risk,0
HS2026233,2.45,0.96,0.9,0.93,0.75,0.9,Almost never,21-23 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,Moderate risk,3,3,2,3,2,3,2,1,2,4,1,2,1,4,4,4,1,3,3,3,2,1,2,4,3,2,5,3,2,3,2,3,2,1,2,5,1,2,2,4,4,3,High Risk,1
HS2026391,3.0,0.99,0.91,0.89,0.85,0.9,Rarely,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),No,More than 4 hours,6-7 hours,Very low risk,4,5,5,3,1,4,2,2,2,1,3,5,2,4,1,2,3,1,4,1,4,4,4,1,1,2,4,4,5,3,1,4,2,2,2,4,5,2,4,1,5,4,Moderate Risk,1
HS2026348,2.22,0.7,0.73,0.9,0.88,1.0,Rarely,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,More than 8 hours,High risk,5,1,1,4,2,4,4,1,3,4,4,4,1,3,4,3,2,2,1,4,4,3,4,3,3,3,2,4,1,4,2,4,4,1,3,1,2,2,2,5,2,5,Moderate Risk,1
HS2026303,2.18,0.77,0.79,0.81,0.91,0.7,Almost never,21-23 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,Less than 1 hour,6-7 hours,Low risk,3,4,4,3,5,2,3,1,2,4,4,2,2,2,5,5,2,3,3,4,1,1,4,3,3,2,2,5,4,3,5,2,3,1,2,2,3,4,3,3,4,3,Low Risk,0
HS2026419,2.69,0.78,0.7,0.9,0.88,0.89,Rarely,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,More than 8 hours,Moderate risk,3,4,1,3,2,4,5,3,2,2,3,5,4,2,1,4,2,2,2,4,2,3,4,5,4,1,2,3,1,3,2,4,5,3,2,5,5,4,4,3,4,3,High Risk,1
HS2026427,3.06,1.0,0.66,0.8,0.88,0.89,Rarely,27-29 years,Female,300,Nursing,Low income,Always,Yes - 10-20 hours/week,1-2 hours,6-7 hours,Moderate risk,2,3,5,4,5,3,5,1,1,5,3,3,3,4,3,2,3,3,1,1,1,4,2,1,1,3,2,3,5,4,5,3,5,1,1,5,4,1,4,1,3,2,Low Risk,0
