GPA_S1,Persists when difficult,Takes rest breaks,CA_AVG,Manages time effectively,ATT_RATE,Confident in clinical skills,Anxious about assessments,EXAM_AVG,Reviews notes within 24h,CLIN_AVG,Participates in clubs,Sense of belonging,Confident to complete prog,LAB_AVG,Lecturers approachable,Concentration in self-study,Schedule conflicts,Hopeless/unmotivated,Balanced diet,Sleep difficulty,Adequate advisory support,Sleep_hrs,Programme prepares for career,Considered break,Adequate supervision,Sleep affects concentration,Rotations affect performance,Regular exercise,Uses library regularly,Burnt out,Emotionally supported,Early intervention provided,Participates in class,Self_risk_percep,Understands content pre-exam,ASSIGN_LATE,Financial_diff,Sets academic goals,Self-motivates,Year_study,Completes readings,Concerns taken seriously,Employment_hrs,Programme_ENT,Can improve performance,Seeks help when stuck,Prepared for clinical assess,Study_hrs_day,RISK_BINARY
2.17,1,2,0.63,1,0.59,2,5,0.69,2,0.69,2,3,2,0.88,1,3,4,5,1,5,2,3,2,5,2,2,2,3,2,4,4,3,1,2,1,2,3,2,1,3,3,2,1,0,2,2,3,2,1
2.45,4,1,0.7,1,0.7,2,1,0.69,2,1.0,4,4,5,1.0,2,1,2,2,2,3,1,6,1,3,1,4,4,2,1,5,3,2,5,3,2,2,5,2,2,3,2,2,1,0,5,4,2,4,0
2.64,5,3,0.9,3,0.9,3,1,0.96,4,0.7,1,4,3,0.88,4,2,1,1,3,3,4,2,3,3,4,3,4,1,4,5,2,5,4,4,3,1,2,3,3,3,2,2,2,0,4,1,2,3,0
3.36,3,3,0.63,2,1.0,2,3,0.89,3,0.9,3,2,2,0.99,3,3,3,4,2,3,3,3,2,5,3,3,3,4,3,4,2,2,3,3,4,3,3,2,3,3,3,3,1,0,2,3,3,2,0
2.63,3,1,0.73,3,0.59,1,2,0.7,3,0.7,4,2,3,1.0,3,2,3,2,3,2,5,4,3,3,2,5,3,4,5,4,3,3,5,2,2,3,1,4,2,3,3,3,2,0,3,4,2,3,0
1.95,1,3,0.7,3,1.0,4,5,0.7,3,0.6,3,4,3,0.64,3,4,5,3,2,1,5,4,1,3,2,3,1,4,5,4,4,1,1,4,5,2,3,2,3,3,3,3,1,0,2,3,4,2,0
2.98,4,3,0.99,5,0.91,3,4,0.7,3,0.89,1,4,2,0.91,1,2,3,2,5,3,3,4,2,4,2,5,4,4,3,5,5,3,2,2,4,2,1,4,2,3,1,1,4,0,4,1,2,4,0
2.43,2,2,0.93,4,0.66,4,4,0.69,4,0.77,2,5,3,0.84,2,3,4,3,4,2,4,2,3,3,3,2,5,2,4,3,1,3,4,2,5,1,1,2,3,2,3,3,3,0,4,2,2,5,1
2.83,1,1,1.0,5,0.9,2,5,0.95,1,0.69,2,2,3,0.92,3,4,3,3,3,5,3,6,2,2,1,3,3,4,3,3,4,2,4,1,4,1,3,1,3,2,2,2,1,0,4,2,2,1,1
2.5,4,5,0.69,2,0.78,4,4,0.79,4,0.78,2,3,5,0.92,2,5,2,4,1,2,4,2,2,2,1,3,3,3,4,2,2,4,1,3,5,3,2,2,5,3,4,4,3,0,4,2,4,1,1
3.41,2,5,0.6,3,0.89,2,3,0.89,1,0.87,4,3,1,0.92,3,3,2,3,2,3,3,3,3,3,4,1,5,2,3,3,3,4,3,4,1,2,2,3,3,3,3,3,3,0,2,4,1,2,0
2.35,4,3,0.69,5,0.88,2,2,0.89,3,0.59,2,2,4,0.98,3,2,2,3,4,4,2,3,3,5,5,4,3,3,2,1,3,2,4,3,5,2,5,4,1,3,2,2,2,0,2,2,3,5,1
2.67,2,3,0.79,3,0.89,1,4,0.96,2,0.57,2,3,1,0.65,2,2,3,3,2,4,3,5,3,2,1,3,2,1,3,3,2,2,2,1,2,1,3,1,2,2,2,3,1,0,2,2,2,3,1
2.45,4,2,0.93,2,0.68,5,5,0.99,1,0.89,1,3,5,0.81,2,1,1,2,3,1,3,2,4,3,3,1,3,2,3,3,3,4,1,1,1,2,5,3,5,2,3,3,4,0,2,1,2,3,0
2.48,2,2,0.69,3,0.78,1,1,0.7,3,0.7,3,3,2,0.95,3,2,4,3,4,5,1,6,4,2,3,1,2,2,1,3,4,5,3,2,3,2,2,1,1,2,5,5,2,0,1,3,2,5,0
2.48,4,2,0.69,3,0.7,1,2,0.7,2,0.77,3,3,2,0.96,4,1,3,1,4,4,1,4,1,4,2,2,1,4,1,3,1,4,1,3,3,3,1,2,4,3,2,2,1,0,1,3,2,3,0
2.91,2,4,0.89,4,0.72,3,2,0.9,4,0.89,2,2,2,1.0,1,1,3,3,1,3,2,4,2,3,4,5,3,3,2,1,4,2,5,3,1,2,1,3,2,3,3,3,1,0,1,2,3,2,0
2.17,2,2,0.9,2,0.84,2,2,0.8,2,0.9,5,1,3,0.95,1,3,2,2,5,4,4,2,4,1,1,3,3,3,4,2,4,5,1,3,2,3,2,4,4,2,4,4,3,0,2,5,4,3,1
2.52,3,5,0.79,5,1.0,3,3,0.66,5,0.7,4,4,4,0.94,3,2,4,4,1,1,1,6,2,2,3,1,3,2,1,4,4,4,3,4,2,2,3,1,2,3,4,4,1,0,2,4,2,1,0
2.81,4,4,0.79,5,0.7,5,3,0.7,2,0.7,5,3,5,0.72,4,3,3,3,1,3,1,6,1,3,3,4,5,1,1,2,3,2,4,3,1,2,3,3,3,2,2,2,1,0,3,5,2,4,0
3.11,5,3,0.9,3,0.77,5,2,0.89,4,0.66,3,2,2,0.81,3,1,3,2,5,2,4,4,2,1,5,4,3,5,4,3,2,3,4,3,4,1,2,3,4,3,3,3,3,0,2,3,2,1,1
2.81,2,4,0.79,3,0.73,1,1,0.9,5,0.9,4,1,3,0.88,1,3,1,3,1,3,1,6,3,3,5,4,2,4,1,5,3,3,2,3,4,1,5,3,3,3,4,4,1,0,2,4,3,4,0
3.19,3,4,0.69,4,0.69,3,2,0.95,1,0.69,2,1,4,1.0,4,2,3,3,2,5,1,4,3,1,1,2,4,3,1,3,1,1,3,3,2,3,2,3,5,2,5,5,2,0,4,2,2,3,0
3.02,3,1,1.0,4,0.6,2,4,0.77,3,0.69,2,1,3,0.82,2,3,5,4,1,5,5,4,3,4,4,1,4,3,5,4,3,2,2,3,4,2,3,1,2,3,4,4,4,0,3,2,2,4,0
1.58,2,1,0.69,5,0.9,1,2,0.69,4,0.79,1,2,1,0.51,5,3,2,4,2,2,3,4,3,5,4,1,1,2,3,3,2,3,4,3,2,1,3,3,5,3,5,5,4,0,2,1,1,2,1
1.94,4,5,0.66,1,0.69,3,3,0.89,1,0.6,2,1,3,0.86,2,2,3,3,2,2,1,2,2,5,5,1,1,1,1,1,2,3,3,3,1,3,5,1,2,3,2,2,1,0,2,2,2,4,1
2.98,4,3,0.77,1,0.66,1,3,0.79,2,0.7,2,4,4,0.79,5,1,3,2,1,2,3,2,1,2,3,1,2,5,3,5,3,2,4,4,2,3,1,4,4,3,3,3,1,0,4,2,1,2,0
3.02,2,4,0.55,2,0.66,2,2,0.9,5,0.79,3,2,2,0.73,3,5,3,3,4,2,5,2,5,4,3,1,2,1,5,5,2,2,3,2,5,1,1,4,3,3,2,2,3,0,3,3,4,3,1
2.86,1,1,0.84,1,1.0,2,4,0.89,5,0.99,1,3,1,0.6,4,1,2,5,2,5,2,4,1,5,2,5,2,3,3,5,2,5,3,1,1,2,2,1,1,2,5,4,2,0,1,1,1,4,0
2.74,3,2,0.69,5,0.78,3,3,0.79,2,0.77,3,4,5,0.88,3,3,2,2,2,1,1,6,1,5,2,1,5,3,1,2,4,4,3,4,4,2,2,3,3,3,2,2,4,0,1,3,2,1,0
3.17,4,3,0.89,4,0.6,3,3,0.78,1,0.91,4,5,4,0.86,4,3,5,2,4,3,4,2,3,3,2,5,1,3,4,2,3,4,3,1,2,2,2,4,1,2,1,1,3,0,3,4,2,2,0
2.96,2,2,0.78,5,0.89,1,3,0.66,2,1.0,3,4,1,0.86,5,3,1,3,1,3,1,2,4,2,2,2,4,1,1,3,2,3,1,2,1,2,2,2,3,3,3,3,1,0,2,3,4,2,0
2.78,1,3,1.0,1,1.0,4,3,0.93,3,0.68,5,2,3,0.94,1,1,3,4,3,1,2,2,5,5,2,5,2,4,2,3,5,3,1,1,4,3,1,5,3,3,1,1,3,0,3,5,3,2,1
