SID,CGPA_Y1,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,FAIL_COUNT,WARN_STATUS,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026032,3.505,3.36,0.63,0.89,0.9,0.99,1,0,No,Sometimes,18-20 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Moderate risk,3,4,3,3,3,2,3,3,4,3,3,3,3,2,3,3,4,4,4,5,2,3,3,4,2,3,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,1,Low Risk
HS2026033,2.375,2.36,0.64,0.85,0.79,0.96,0.59,2,No,Rarely,21-23 years,Female,300,Nursing,Low income,Always,Yes - 10-20 hours/week,Less than 1 hour,4-5 hours,Low risk,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,High Risk
HS2026034,2.6775,2.58,0.88,0.69,0.67,0.92,0.55,2,No,Rarely,24-26 years,Male,300,Nursing,Upper-middle income,Never,No,2-3 hours,4-5 hours,Moderate risk,2,3,2,3,2,3,3,3,2,3,3,2,2,3,4,4,3,3,3,4,4,2,3,3,2,2,2,3,4,3,4,5,1,3,3,2,3,3,2,3,2,3,High Risk
HS2026035,3.0225,3.28,0.9,0.73,0.72,1,0.96,0,No,Rarely,21-23 years,Male,300,Nursing,High income,Never,No,2-3 hours,4-5 hours,Low risk,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,3,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Low Risk
HS2026036,2.5025,2.17,0.63,0.69,0.69,0.88,0.59,1,No,Rarely,18-20 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Low risk,2,1,2,2,3,4,3,1,2,3,2,2,4,2,5,5,4,5,4,5,4,1,2,3,1,5,2,3,2,2,2,3,1,4,2,2,2,2,1,1,1,1,Moderate Risk
HS2026037,2.07,1.81,1,0.68,1,0.86,0.93,2,No,Almost never,27-29 years,Female,200,Nursing,Upper-middle income,Never,No,2-3 hours,4-5 hours,Low risk,2,2,2,2,2,2,2,2,4,2,4,2,4,2,2,4,4,4,4,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High Risk
HS2026038,2.4025,2.43,0.64,0.84,0.59,0.93,0.75,2,No,Sometimes,18-20 years,Male,200,Nursing,Low income,Often (weekly),Yes - 10-20 hours/week,1-2 hours,6-7 hours,Moderate risk,3,1,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,2,1,1,2,2,3,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,High Risk
HS2026039,3.095,3.07,0.64,0.78,0.55,1,0.57,0,No,Sometimes,30-35 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,1-2 hours,4-5 hours,Moderate risk,2,2,1,1,2,2,2,2,3,2,2,1,1,2,3,3,3,2,2,1,1,2,4,2,2,2,1,2,2,2,1,1,1,2,1,3,3,2,2,1,1,3,Low Risk
HS2026040,2.2,1.76,0.8,0.7,0.96,0.84,0.89,3,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,2,4,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High Risk
HS2026041,1.75,1.33,0.8,0.9,0.59,0.82,1,4,No,Rarely,30-35 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,5-6 hours,Low risk,2,1,3,1,2,2,2,1,2,2,2,1,3,2,2,1,2,1,2,1,2,3,2,1,2,1,2,2,1,1,2,2,2,2,3,2,2,2,1,1,1,1,High Risk
HS2026042,2.3675,1.79,0.8,1,0.93,0.96,0.89,0,No,Rarely,30-35 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Moderate risk,4,2,2,2,2,1,3,2,4,2,4,2,4,2,2,2,2,2,3,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Moderate Risk
HS2026043,2.715,2.38,0.95,0.79,0.75,0.82,0.89,2,No,Rarely,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,More than 4 hours,5-6 hours,Very low risk,2,1,2,1,1,1,1,1,2,1,4,1,4,1,2,3,3,3,3,3,2,3,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,High Risk
HS2026044,2.8175,2.67,0.79,0.96,0.57,0.65,0.89,1,No,Almost never,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,7-8 hours,Very low risk,2,2,2,3,2,2,2,2,3,2,2,1,3,1,4,4,3,3,3,2,2,2,3,1,2,2,3,3,2,3,3,2,2,2,3,1,2,1,2,3,2,2,Moderate Risk
HS2026045,1.6825,1.57,0.5,0.92,0.89,0.47,0.7,6,No,Sometimes,24-26 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,3,2,3,2,3,3,3,4,2,4,3,2,1,3,3,4,2,2,2,2,3,4,1,5,4,2,2,3,3,3,3,3,3,3,2,4,3,4,3,4,3,4,High Risk
HS2026046,2.2525,2,0.65,1,1,0.77,0.77,1,No,Sometimes,18-20 years,Female,200,Nursing,Low income,Always,No,More than 4 hours,4-5 hours,Low risk,2,3,2,1,1,2,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,1,5,3,3,4,4,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,Moderate Risk
HS2026047,2.8325,2.6,0.49,0.89,0.89,0.72,0.79,2,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,Less than 1 hour,6-7 hours,High risk,5,4,5,4,5,4,5,4,4,4,5,4,2,4,2,1,2,1,2,2,3,5,5,5,3,3,2,4,4,4,4,4,3,5,4,4,3,3,3,3,3,3,High Risk
HS2026048,1.8075,1.17,0.5,0.93,0.89,1,0.69,3,No,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,Less than 1 hour,6-7 hours,Moderate risk,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,5,1,1,5,4,2,1,2,3,2,2,2,2,2,1,1,2,1,2,2,High Risk
HS2026049,2.2425,2.21,0.53,0.8,0.89,0.72,0.6,1,No,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Never,No,1-2 hours,Less than 4 hours,Moderate risk,5,3,3,5,3,3,4,3,3,3,2,3,4,3,2,3,2,1,3,1,3,3,1,5,5,1,1,5,4,5,4,5,3,3,5,5,5,5,4,3,3,3,Moderate Risk
HS2026050,3.5625,3.74,0.78,0.8,0.7,0.68,0.79,0,No,Rarely,27-29 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,More than 8 hours,High risk,3,3,3,3,3,3,3,3,3,2,3,2,3,2,5,4,4,5,4,4,2,2,5,1,3,5,5,3,4,3,3,4,3,5,3,3,3,3,3,3,3,2,Low Risk
HS2026051,2.0075,1.48,0.95,0.89,0.77,1,0.89,4,No,Almost never,18-20 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,4-5 hours,Low risk,1,1,1,1,1,1,1,1,3,2,4,1,3,1,3,2,2,5,3,5,1,1,4,3,4,3,4,1,4,2,3,3,2,3,1,1,1,1,2,1,2,3,High Risk
HS2026052,2.0375,1.74,1,0.93,0.79,0.85,0.91,4,No,Sometimes,27-29 years,Female,200,Nursing,High income,Never,Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Low risk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,1,5,5,2,1,4,5,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,High Risk
HS2026053,2.585,2.17,0.66,0.9,0.69,1,0.66,2,No,Sometimes,21-23 years,Male,200,Nursing,Low income,Sometimes (monthly),No,3-4 hours,5-6 hours,Moderate risk,2,2,2,4,2,3,1,4,2,4,1,3,3,3,3,5,5,5,5,5,2,3,1,5,4,2,2,1,3,1,2,3,1,2,1,2,2,2,2,2,2,2,High Risk
HS2026054,3.4675,3,0.8,0.79,0.6,0.89,1,0,No,Rarely,30-35 years,Male,200,Nursing,Middle income,Never,Yes - 10-20 hours/week,3-4 hours,4-5 hours,Very low risk,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,1,2,5,1,3,3,3,1,3,3,2,3,2,1,1,2,2,2,2,2,2,2,Low Risk
HS2026055,3.2975,2.9,0.79,0.67,0.79,0.84,0.79,0,No,Rarely,27-29 years,Male,200,Nursing,Middle income,Always,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Moderate risk,2,2,2,2,2,2,2,1,2,2,2,2,4,2,4,2,4,4,4,4,2,1,2,3,2,4,2,2,2,4,4,4,2,2,2,2,2,1,2,2,2,2,Low Risk
HS2026056,2.0175,1.83,0.8,0.72,0.89,0.93,0.7,3,No,Rarely,18-20 years,Female,200,Nursing,Low income,Always,No,2-3 hours,5-6 hours,Moderate risk,2,3,2,1,3,2,2,1,3,2,3,4,2,2,3,3,2,1,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,3,1,1,2,2,2,2,1,2,High Risk
HS2026057,3.1275,2.74,0.78,0.69,0.91,0.89,0.93,0,No,Rarely,18-20 years,Male,200,Nursing,Middle income,Never,No,More than 4 hours,4-5 hours,Low risk,2,2,2,2,3,1,4,2,3,3,3,2,4,2,4,4,3,3,4,3,2,3,3,3,3,2,3,1,3,2,3,2,2,3,3,2,2,2,2,2,2,1,Low Risk
HS2026058,3.305,3.05,0.64,1,0.66,0.88,0.9,1,No,Almost never,21-23 years,Female,200,Nursing,Upper-middle income,Never,No,3-4 hours,7-8 hours,Moderate risk,3,2,2,1,2,2,2,2,3,3,2,4,3,2,4,3,3,2,3,3,2,3,4,3,2,1,3,2,2,2,3,2,3,4,3,3,2,2,3,2,3,3,Moderate Risk
HS2026059,2.7275,2.38,0.64,0.59,1,0.87,0.6,2,No,Sometimes,21-23 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,Moderate risk,3,2,3,2,1,3,2,2,2,2,4,3,3,2,2,2,1,3,2,3,2,2,3,2,3,4,3,2,3,1,3,3,2,3,2,3,2,3,2,2,1,3,High Risk
HS2026060,3.275,3.07,0.7,0.55,0.79,0.97,0.79,0,No,Sometimes,24-26 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,Less than 4 hours,Moderate risk,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,3,4,3,1,1,2,2,2,2,1,Low Risk
HS2026061,1.665,0.93,0.9,0.96,0.7,0.91,0.87,5,No,Rarely,27-29 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,3-4 hours,Less than 4 hours,Moderate risk,4,3,4,4,2,1,2,5,2,3,1,2,3,2,3,2,3,4,3,2,3,3,1,2,2,2,3,1,2,3,2,3,1,2,1,2,3,1,2,3,4,2,High Risk
HS2026062,2.915,2.4,0.75,0.59,0.93,0.92,0.78,0,No,Rarely,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,2,1,5,4,2,3,1,3,2,3,2,3,4,3,2,5,4,3,2,3,3,2,3,2,3,2,3,5,4,4,2,3,2,1,4,3,2,3,4,3,2,Low Risk
HS2026063,2.61,2.9,0.66,0.93,0.9,0.97,0.99,3,No,Rarely,21-23 years,Male,200,Nursing,High income,Never,No,1-2 hours,7-8 hours,High risk,4,2,4,1,2,2,3,1,3,2,3,3,2,1,3,4,2,4,4,3,3,1,1,2,3,3,2,2,3,2,4,3,2,1,2,2,3,2,3,1,2,3,High Risk
HS2026064,2.75,2.26,0.82,0.75,0.6,0.93,0.88,2,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,5-6 hours,Moderate risk,4,3,2,2,3,2,2,3,2,3,1,3,2,3,2,3,2,3,4,3,3,4,2,3,4,2,3,2,4,4,4,4,2,4,2,2,3,3,2,3,4,3,High Risk
HS2026065,2.24,1.64,0.76,0.57,0.79,0.9,1,1,No,Almost never,24-26 years,Male,200,Nursing,High income,Never,No,3-4 hours,5-6 hours,Low risk,2,1,2,2,1,1,3,3,2,2,4,1,2,2,5,1,4,4,2,5,1,1,4,4,2,4,2,1,1,3,2,3,1,2,1,1,1,1,1,2,2,2,Moderate Risk
HS2026066,2.96,3.05,0.83,0.89,0.87,0.86,0.89,0,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Moderate risk,3,2,4,4,2,3,2,3,3,3,2,3,3,3,4,2,3,4,2,4,2,4,2,3,5,4,3,3,4,2,2,2,2,4,2,2,1,2,2,2,2,2,Low Risk
HS2026067,2.535,2.14,0.92,1,0.78,0.84,0.9,1,No,Sometimes,30-35 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,1-2 hours,4-5 hours,Low risk,2,2,1,2,2,1,5,1,2,1,5,1,2,1,5,5,2,5,4,5,1,2,2,4,1,2,2,2,4,2,4,3,1,1,1,1,1,1,1,2,2,2,Moderate Risk
HS2026068,3.1775,2.86,0.84,0.89,0.99,0.6,1,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,Very low risk,5,1,1,3,5,1,1,3,1,1,2,2,2,2,4,5,5,5,5,5,2,4,5,3,2,5,1,3,1,2,4,5,1,1,1,1,1,1,1,1,1,1,Low Risk
